game_id,fold_id,mu_h,mu_a,home_score,away_score,margin,total,gameday,season,home_team,away_team,home_score_game,away_score_game,game_type,margin_game,total_game,home_win,nba_game_id,is_final,start_time_utc,venue,game_state,game_status_detail,elo_diff,win_pct_diff,rest_days_diff,back_to_back_diff,ewm_net_points_diff,ewm_off_rating_diff,ewm_def_rating_diff,ewm_pace_diff,ewm_efg_pct_diff,ewm_turnover_margin_diff,ewm_rebound_margin_diff,ewm_ast_per_game_diff,elo_home,elo_away,win_pct_home,win_pct_away,ewm_off_rating_home,ewm_off_rating_away,ewm_def_rating_home,ewm_def_rating_away,rest_days_home,rest_days_away,is_home,is_playoffs,nba_points_for_pg_ewm_diff,nba_points_for_pg_ewm_home,nba_points_for_pg_ewm_away,nba_points_for_pg_roll_diff,nba_points_for_pg_roll_home,nba_points_for_pg_roll_away,nba_points_against_pg_ewm_diff,nba_points_against_pg_ewm_home,nba_points_against_pg_ewm_away,nba_points_against_pg_roll_diff,nba_points_against_pg_roll_home,nba_points_against_pg_roll_away,nba_assists_per_game_ewm_diff,nba_assists_per_game_ewm_home,nba_assists_per_game_ewm_away,nba_assists_per_game_roll_diff,nba_assists_per_game_roll_home,nba_assists_per_game_roll_away,nba_rebounds_per_game_ewm_diff,nba_rebounds_per_game_ewm_home,nba_rebounds_per_game_ewm_away,nba_rebounds_per_game_roll_diff,nba_rebounds_per_game_roll_home,nba_rebounds_per_game_roll_away,nba_turnovers_per_game_ewm_diff,nba_turnovers_per_game_ewm_home,nba_turnovers_per_game_ewm_away,nba_turnovers_per_game_roll_diff,nba_turnovers_per_game_roll_home,nba_turnovers_per_game_roll_away,nba_three_point_pct_ewm_diff,nba_three_point_pct_ewm_home,nba_three_point_pct_ewm_away,nba_three_point_pct_roll_diff,nba_three_point_pct_roll_home,nba_three_point_pct_roll_away,nba_free_throw_pct_ewm_diff,nba_free_throw_pct_ewm_home,nba_free_throw_pct_ewm_away,nba_free_throw_pct_roll_diff,nba_free_throw_pct_roll_home,nba_free_throw_pct_roll_away,event_three_rate_diff,event_rim_rate_diff,event_live_tov_rate_diff,event_and_in_rate_diff,event_shot_distance_diff,event_possessions_diff,event_shooting_fouls_diff,event_q4_points_diff,home_record,away_record
401703396,0,109.77956943529495,114.0154884840671,113.0,98.0,15.0,211.0,2024-11-22,2024.0,PHI,BKN,113.0,98.0,1,15.0,211.0,1.0,0022400027,True,2024-11-23T00:00:00Z,Xfinity Mobile Arena,post,Final,-28.356356299602112,-0.25,-1.0,0.0,-4.159406266940849,-4.159406266940877,4.1594062669408345,-14.94517265662111,-0.05950209776068199,0.0,0.0,-5.384883024259501,1413.224862090617,1441.5812183902192,0.16666666666666666,0.4166666666666667,90.95509490891489,95.11450117585576,109.0449050910851,104.88549882414426,2.0,3.0,1.0,0.0,-9.552289461780973,101.37335996297213,110.9256494247531,-14.399999999999991,98.2,112.6,-5.392883194840181,110.41826505405719,115.81114824889737,-10.200000000000003,109.2,119.4,-5.384883024259501,22.124582884239548,27.50946590849905,-6.199999999999999,21.6,27.8,2.2326957129865264,40.150861259879946,37.91816554689342,2.799999999999997,40.4,37.6,1.5799976227508523,13.706240145673094,12.126242522922242,1.799999999999999,13.6,11.8,-0.08548127952859119,0.3131221673130582,0.3986034468416494,-0.12044245722845648,0.31174622924023687,0.43218868646869335,0.026520963664713904,0.8293755181242249,0.802854554459511,0.0638858509911141,0.8782467532467532,0.8143609022556391,-0.06047866110509181,,,,,,,,29-41,23-41
401703397,0,107.11962756367882,120.20263486960594,96.0,108.0,-12.0,204.0,2024-11-22,2024.0,WAS,BOS,96.0,108.0,1,-12.0,204.0,0.0,0022400028,True,2024-11-23T00:00:00Z,Capital One Arena,post,Final,-327.23902981675474,-0.5833333333333334,1.0,0.0,-24.775424382850545,-24.77542438285056,24.77542438285056,0.8211494873857816,-0.060617610034059854,0.0,0.0,-4.083945583998204,1338.7632133320487,1666.0022431488035,0.16666666666666666,0.75,82.5442032815722,107.31962766442275,117.45579671842783,92.68037233557727,4.0,3.0,1.0,0.0,-11.977137447732318,109.22152773571433,121.19866518344665,-13.0,109.8,122.8,12.798286935118142,126.67732445414212,113.87903751902398,11.0,126.6,115.6,-4.083945583998204,24.44248890883444,28.526434492832646,-6.399999999999999,24.0,30.4,-0.4813818107636152,41.613752102188705,42.09513391295232,0.3999999999999986,41.4,41.0,2.6965742114513738,14.59916476301147,11.902590551560095,3.4000000000000004,15.6,12.2,-0.051786265424657474,0.35391420127570283,0.4057004667003603,-0.04971278493048231,0.3781089211696863,0.4278217061001686,-0.07276174793752976,0.7274321731417933,0.8001939210793231,-0.08586942784311202,0.7183424908424909,0.8042119186856029,-0.1583246166170204,,,,,,,,11-52,66-18
401703398,0,120.80021594374544,113.35183866217267,129.0,117.0,12.0,246.0,2024-11-22,2024.0,MIL,IND,129.0,117.0,1,12.0,246.0,1.0,0022400029,True,2024-11-23T01:00:00Z,Fiserv Forum,post,Final,-17.061314701716583,0.0,0.0,0.0,9.65908857407224,9.659088574072243,-9.659088574072214,-13.29005384604892,0.007977359396016293,0.0,0.0,-0.8558766926095096,1475.2674008133515,1492.328715515068,0.4166666666666667,0.4166666666666667,103.57431155941872,93.91522298534647,96.42568844058134,106.08477701465355,2.0,2.0,1.0,0.0,-1.8154826359883174,111.91665027133581,113.73213290732413,2.1999999999999886,112.6,110.4,-11.474571210060518,108.34233871191711,119.81690992197763,-12.399999999999991,105.2,117.6,-0.8558766926095096,25.033138832020448,25.889015524629958,1.0,26.6,25.6,5.461931337183863,43.634513631352746,38.17258229416888,5.799999999999997,44.4,38.6,-2.4268359321761377,12.243283536030548,14.670119468206686,-3.4000000000000004,12.4,15.8,0.015294709040042487,0.3743622729504782,0.3590675639104357,0.02042419266557194,0.3772005772005772,0.35677638453500526,-0.1403062180850142,0.6679010533496834,0.8082072714346976,-0.1960387233969576,0.6453754180171838,0.8414141414141414,0.06292689646591942,,,,,,,,33-38,44-39
401703399,0,120.59320682299617,115.96997714441513,136.0,122.0,14.0,258.0,2024-11-22,2024.0,CHI,ATL,136.0,122.0,1,14.0,258.0,1.0,0022400030,True,2024-11-23T01:00:00Z,United Center,post,Final,-7.77167937643253,-0.08333333333333337,0.0,0.0,-3.7883309703587473,-3.7883309703587287,3.788330970358743,11.69860468600072,0.05013921605621818,0.0,0.0,-2.122112943049398,1459.2357632636117,1467.0074426400442,0.3333333333333333,0.4166666666666667,90.33206545125846,94.12039642161719,109.66793454874154,105.8796035783828,2.0,2.0,1.0,0.0,3.9551368578210457,115.265999090844,111.31086223302296,4.599999999999994,117.0,112.4,7.74346782817976,124.93393363958553,117.19046581140577,13.800000000000011,128.8,115.0,-2.122112943049398,27.766206874172994,29.888319817222392,-2.400000000000002,28.4,30.8,-6.284918675600501,41.92827924747134,48.21319792307184,-9.200000000000003,40.4,49.6,-2.0349313532061046,14.541613602741918,16.576544955948023,-3.200000000000001,14.4,17.6,0.05051463967090225,0.38761323556830773,0.3370985958974055,0.06491270405744093,0.3985714285714286,0.33365872451398765,0.10051651859576016,0.850279774639483,0.7497632560437228,0.13698926998926997,0.871014911014911,0.734025641025641,0.07905936609459902,,,,,,,,30-34,30-36
401703400,0,117.31279565915602,106.3402035042624,116.0,88.0,28.0,204.0,2024-11-22,2024.0,HOU,POR,116.0,88.0,1,28.0,204.0,1.0,0022400031,True,2024-11-23T01:00:00Z,Toyota Center (Houston),post,Final,134.28139630915666,0.3333333333333333,0.0,0.0,18.18393213208541,18.183932132085417,-18.183932132085403,6.88814520660506,0.00642917410130972,0.0,0.0,2.69744894126125,1556.7841287445767,1422.50273243542,0.75,0.4166666666666667,112.51752285046757,94.33359071838215,87.48247714953243,105.66640928161783,2.0,2.0,1.0,0.0,12.536038669345274,118.54473657714091,106.00869790779564,15.799999999999997,121.8,106.0,-5.6478934627401856,106.02721372667332,111.67510718941351,-6.200000000000003,105.6,111.8,2.69744894126125,24.535259744378973,21.837810803117723,4.599999999999998,27.4,22.8,8.703763817590236,52.574020983558015,43.87025716596778,11.0,54.6,43.6,-6.067218820887868,12.457940164408791,18.52515898529666,-8.600000000000001,12.0,20.6,-0.03215332020474576,0.3191960875278163,0.35134940773256207,-0.01307536555291966,0.34310383244206777,0.35617919799498743,0.00014439200601557012,0.7609106061318739,0.7607662141258583,-0.03851904905865733,0.7551673408291055,0.7936863898877629,-0.02906830222784962,,,,,,,,37-31,18-48
401703401,0,106.502849630729,119.35561853118827,108.0,112.0,-4.0,220.0,2024-11-22,2024.0,NOP,GSW,108.0,112.0,1,-4.0,220.0,0.0,0022400032,True,2024-11-23T00:30:00Z,Smoothie King Center,post,Final,-155.52201291752272,-0.5833333333333334,0.0,0.0,-25.128004492115075,-25.128004492115068,25.128004492115068,-11.245707493988988,-0.06905794762022527,0.0,0.0,-8.648949385953195,1448.5545863602529,1604.0765992777756,0.16666666666666666,0.75,82.5481344731325,107.67613896524757,117.45186552686751,92.32386103475244,2.0,2.0,1.0,0.0,-18.18685599305202,99.00310758389053,117.18996357694255,-22.0,95.8,117.8,6.941148499063061,116.45497311075802,109.51382461169496,2.799999999999997,112.8,110.0,-8.648949385953195,22.460394377157705,31.1093437631109,-10.399999999999999,21.6,32.0,-5.73990185966624,43.83420604218807,49.57410790185431,-2.0,48.2,50.2,0.1309150502790981,15.263123032332347,15.132207982053249,1.3999999999999986,17.2,15.8,-0.05513309945108602,0.3238360883611069,0.3789691878121929,-0.08357230621381184,0.3077307636971152,0.39130306991092706,0.11901622635240172,0.781991203514511,0.6629749771621093,0.13269345157566992,0.7624125803153936,0.6297191287397237,-0.07526250489385172,,,,,,,,34-35,42-22
401703402,0,111.15084194931065,115.90318852917699,120.0,123.0,-3.0,243.0,2024-11-22,2024.0,DEN,DAL,120.0,123.0,1,-3.0,243.0,0.0,0022400033,True,2024-11-23T03:00:00Z,Ball Arena,post,Final,10.176024681791432,0.16666666666666663,0.0,0.0,-10.419241559293551,-10.41924155929351,10.419241559293582,-0.7250588322967246,-0.021225008377801835,0.0,0.0,4.695656480608143,1586.3129574635923,1576.1369327818009,0.6666666666666666,0.5,101.21129307988824,111.63053463918175,98.78870692011182,88.36946536081824,3.0,3.0,1.0,0.0,-5.572150195795146,113.11483967836291,118.68698987415806,-6.0,112.6,118.6,4.847091363498436,111.90354659847472,107.05645523497628,4.0,111.6,107.6,4.695656480608143,29.064875793479505,24.369219312871362,5.800000000000001,30.0,24.2,-0.23457240431854842,45.129802051933574,45.36437445625212,-2.0,42.8,44.8,0.4447550382362735,13.886573250504092,13.441818212267819,-1.8000000000000007,13.2,15.0,0.013783332666981563,0.37145016114007257,0.357666828473091,0.03498440750420073,0.3846457167480527,0.34966130924385197,-0.029110620255781483,0.7550004054036953,0.7841110256594768,-0.01286526339157923,0.769356958830643,0.7822222222222223,0.004150275276717685,,,,,,,,49-24,52-34
401703403,0,115.39628914301946,109.99934411047603,104.0,88.0,16.0,192.0,2024-11-22,2024.0,LAC,SAC,104.0,88.0,1,16.0,192.0,1.0,0022400034,True,2024-11-23T03:30:00Z,Intuit Dome,post,Final,32.99900335701068,0.0,-2.0,0.0,-0.5650410011616631,-0.5650410011616458,0.5650410011616884,-16.82080356031571,-0.03669124194864093,0.0,0.0,-0.09618526610436007,1545.5914197820312,1512.5924164250205,0.5833333333333334,0.5833333333333334,101.60281402042092,102.16785502158257,98.39718597957912,97.83214497841743,2.0,4.0,1.0,0.0,-8.69292228073867,107.46669439969675,116.15961668043542,-9.799999999999997,105.8,115.6,-8.12788127957701,105.86388037927583,113.99176165885284,-8.600000000000009,106.6,115.2,-0.09618526610436007,24.388391010482856,24.484576276587216,-1.0,24.0,25.0,1.867210014911862,45.54712967702791,43.67991966211605,2.799999999999997,45.4,42.6,1.7078782013184046,15.888465284471941,14.180587083153537,-0.20000000000000107,14.2,14.4,0.031984837679793654,0.4063092379767524,0.37432440029695874,-0.031476891938349794,0.3728018575851394,0.4042787495234892,0.0035887348559646703,0.8005097009616818,0.7969209661057172,0.022376804310240805,0.8126994737288855,0.7903226694186447,-0.046625707139025974,,,,,,,,43-30,35-31
401704830,0,106.33450770218595,118.08982554830388,121.0,106.0,15.0,227.0,2024-11-23,2024.0,UTA,NYK,121.0,106.0,1,15.0,227.0,1.0,0022400264,True,2024-11-23T22:00:00Z,Delta Center,post,Final,-176.08230063572114,-0.41666666666666663,-1.0,0.0,-18.081506847028383,-18.08150684702842,18.081506847028393,-3.9625649026419865,-0.07299455554528744,0.0,0.0,-6.087778612985922,1380.1685940018044,1556.2508946375256,0.25,0.6666666666666666,92.45707802789593,110.53858487492435,107.54292197210412,89.46141512507573,2.0,3.0,1.0,0.0,-11.02203587483514,112.95195433147693,123.97399020631207,-12.0,114.6,126.6,7.059470972193154,120.494876303581,113.43540533138784,4.400000000000006,120.0,115.6,-6.087778612985922,24.119097108378718,30.20687572136464,-8.2,23.0,31.2,-0.014300080747638333,42.671804824318116,42.686104905065754,-1.7999999999999972,41.0,42.8,4.421661424327702,15.48250349477265,11.060842070444949,4.4,15.4,11.0,-0.06318354514097207,0.34141912617279296,0.40460267131376504,-0.058715306161126635,0.35322272498743085,0.4119380311485575,-0.019213451445379226,0.8217570871267791,0.8409705385721583,-0.009070753807595922,0.8120107962213226,0.8210815500289185,0.005279650483383691,,,,,,,,20-44,49-29
401704831,0,119.14650558150204,107.25523605440357,111.0,100.0,11.0,211.0,2024-11-23,2024.0,ORL,DET,111.0,100.0,1,11.0,211.0,1.0,0022400265,True,2024-11-24T00:00:00Z,Kia Center,post,Final,133.7684604650858,0.08333333333333337,0.0,0.0,4.060808373901107,4.060808373901139,-4.060808373901054,-20.205230274578668,0.004302231896648578,0.0,0.0,-2.295826297306032,1533.2205246224348,1399.452064157349,0.5833333333333334,0.5,104.25374561853349,100.19293724463235,95.74625438146657,99.80706275536762,2.0,2.0,1.0,0.0,-8.072210950338786,106.19719336141614,114.26940431175493,-12.600000000000009,102.6,115.2,-12.133019324239939,101.94344774288265,114.07646706712259,-14.799999999999997,99.4,114.2,-2.295826297306032,24.859369805266684,27.155196102572717,-3.1999999999999993,24.2,27.4,-9.92898291198793,40.70338192471089,50.63236483669882,-10.600000000000001,40.6,51.2,0.035533116523614794,14.221701490261287,14.186168373737672,2.200000000000001,14.8,12.6,-0.04053675280125746,0.3134303087588425,0.35396706156009994,-0.04087407421799444,0.3244568667708413,0.36533094098883573,0.0789406666174941,0.8232876183622206,0.7443469517447265,0.09723951487109372,0.8358225108225108,0.7385829959514171,0.019565455400988252,,,,,,,,41-33,18-49
