fold_id,train_end_date,validation_start,validation_end,is_partial_tail,n_train,n_validation
0,2024-11-21,2024-11-22,2024-11-29,False,229,59
1,2024-11-29,2024-11-30,2024-12-06,False,288,51
3,2024-12-13,2024-12-14,2024-12-22,False,374,46
4,2024-12-22,2024-12-23,2024-12-30,False,420,58
5,2024-12-30,2024-12-31,2025-01-06,False,478,53
6,2025-01-06,2025-01-07,2025-01-13,False,531,48
7,2025-01-13,2025-01-14,2025-01-20,False,579,53
8,2025-01-20,2025-01-21,2025-01-27,False,632,52
9,2025-01-27,2025-01-28,2025-02-03,False,684,51
10,2025-02-03,2025-02-04,2025-02-10,False,735,55
11,2025-02-10,2025-02-11,2025-02-22,False,790,48
12,2025-02-22,2025-02-23,2025-03-01,False,838,55
13,2025-03-01,2025-03-02,2025-03-08,False,893,55
14,2025-03-08,2025-03-09,2025-03-15,False,948,56
15,2025-03-15,2025-03-16,2025-03-22,False,1004,53
16,2025-03-22,2025-03-23,2025-03-29,False,1057,52
17,2025-03-29,2025-03-30,2025-04-05,False,1109,53
18,2025-04-05,2025-04-06,2025-04-13,False,1162,68
26,2025-10-22,2025-10-23,2025-10-29,False,1328,54
27,2025-10-29,2025-10-30,2025-11-05,False,1382,52
28,2025-11-05,2025-11-06,2025-11-12,False,1434,54
29,2025-11-12,2025-11-13,2025-11-19,False,1488,48
30,2025-11-19,2025-11-20,2025-11-26,False,1536,50
31,2025-11-26,2025-11-28,2025-12-04,False,1586,56
33,2025-12-11,2025-12-12,2025-12-19,False,1679,41
34,2025-12-19,2025-12-20,2025-12-27,False,1720,60
35,2025-12-27,2025-12-28,2026-01-03,False,1780,53
36,2026-01-03,2026-01-04,2026-01-10,False,1833,53
37,2026-01-10,2026-01-11,2026-01-17,False,1886,54
38,2026-01-17,2026-01-18,2026-01-24,False,1940,51
39,2026-01-24,2026-01-25,2026-01-31,False,1991,52
40,2026-01-31,2026-02-01,2026-02-07,False,2043,55
41,2026-02-07,2026-02-08,2026-02-20,False,2098,54
42,2026-02-20,2026-02-21,2026-02-27,False,2152,52
43,2026-02-27,2026-02-28,2026-03-06,False,2204,52
44,2026-03-06,2026-03-07,2026-03-13,False,2256,55
45,2026-03-13,2026-03-14,2026-03-20,False,2311,53
46,2026-03-20,2026-03-21,2026-03-27,False,2364,54
47,2026-03-27,2026-03-28,2026-04-03,False,2418,54
48,2026-04-03,2026-04-04,2026-04-10,False,2472,57
55,2026-06-05,2026-06-08,2026-06-13,True,2626,3
