feature,window,n_games,pct_measured,pct_nonnull,n_default_zero,status
elo_diff,decided pool,270,100.0,100.0,0,OK
win_pct_diff,decided pool,270,92.59,92.59,0,OK
rest_days_diff,decided pool,270,92.59,92.59,0,OK
ewm_net_goals_diff,decided pool,270,92.59,92.59,0,OK
ewm_goal_share_diff,decided pool,270,92.59,92.59,0,OK
ga_per_game_diff,decided pool,270,92.59,92.59,0,OK
shots_for_per_game_diff,decided pool,270,0.0,0.0,0,STARVED
shots_against_per_game_diff,decided pool,270,0.0,0.0,0,STARVED
pp_success_diff,decided pool,270,0.0,0.0,0,STARVED
faceoff_win_diff,decided pool,270,0.0,0.0,0,STARVED
back_to_back_diff,decided pool,270,92.59,92.59,0,OK
goalie_sv_pct_diff,decided pool,270,81.85,81.85,0,OK
goalie_gaa_diff,decided pool,270,0.0,0.0,0,STARVED
goalie_starts_diff,decided pool,270,100.0,100.0,0,OK
is_playoffs,decided pool,270,100.0,100.0,0,OK
elo_home,decided pool,270,100.0,100.0,0,OK
elo_away,decided pool,270,100.0,100.0,0,OK
win_pct_home,decided pool,270,93.7,93.7,0,OK
win_pct_away,decided pool,270,94.44,94.44,0,OK
ewm_net_goals_home,decided pool,270,93.7,93.7,0,OK
ewm_net_goals_away,decided pool,270,94.44,94.44,0,OK
rest_days_home,decided pool,270,93.7,93.7,0,OK
rest_days_away,decided pool,270,94.44,94.44,0,OK
goalie_sv_pct_home,decided pool,270,86.3,86.3,0,OK
goalie_sv_pct_away,decided pool,270,87.04,87.04,0,OK
goalie_gaa_home,decided pool,270,0.0,0.0,0,STARVED
goalie_gaa_away,decided pool,270,0.0,0.0,0,STARVED
is_home,decided pool,270,100.0,100.0,0,OK
