feature,window,n_games,pct_measured,pct_nonnull,n_default_zero,status
elo_diff,decided pool,2792,100.0,100.0,0,OK
win_pct_diff,decided pool,2792,99.28,99.28,0,OK
rest_days_diff,decided pool,2792,99.28,99.28,0,OK
ewm_net_goals_diff,decided pool,2792,99.28,99.28,0,OK
ewm_goal_share_diff,decided pool,2792,99.28,99.28,0,OK
ga_per_game_diff,decided pool,2792,99.28,99.28,0,OK
shots_for_per_game_diff,decided pool,2792,0.0,0.0,0,STARVED
shots_against_per_game_diff,decided pool,2792,0.0,0.0,0,STARVED
pp_success_diff,decided pool,2792,0.0,0.0,0,STARVED
faceoff_win_diff,decided pool,2792,0.0,0.0,0,STARVED
back_to_back_diff,decided pool,2792,99.28,99.28,0,OK
goalie_sv_pct_diff,decided pool,2792,96.13,96.13,0,OK
goalie_gaa_diff,decided pool,2792,96.13,96.13,0,OK
goalie_starts_diff,decided pool,2792,100.0,100.0,0,OK
is_playoffs,decided pool,2792,100.0,100.0,0,OK
elo_home,decided pool,2792,100.0,100.0,0,OK
elo_away,decided pool,2792,100.0,100.0,0,OK
win_pct_home,decided pool,2792,99.39,99.39,0,OK
win_pct_away,decided pool,2792,99.46,99.46,0,OK
ewm_net_goals_home,decided pool,2792,99.39,99.39,0,OK
ewm_net_goals_away,decided pool,2792,99.46,99.46,0,OK
rest_days_home,decided pool,2792,99.39,99.39,0,OK
rest_days_away,decided pool,2792,99.46,99.46,0,OK
goalie_sv_pct_home,decided pool,2792,97.89,97.89,0,OK
goalie_sv_pct_away,decided pool,2792,97.39,97.39,0,OK
goalie_gaa_home,decided pool,2792,97.89,97.89,0,OK
goalie_gaa_away,decided pool,2792,97.39,97.39,0,OK
is_home,decided pool,2792,100.0,100.0,0,OK
