game_id,game_date,home_team,away_team,home_score,away_score,home_win,home_win_prob_model,home_win_prob_model_calibrated,model_pick,actual_winner,correct,source_artifact_date,p_home_win,p_away_win,game_status
2024020225,2024-11-09,FLA,PHI,4.0,3.0,1.0,0.5642926880720637,0.5642926880720637,FLA,FLA,True,20260924,,,
2024020226,2024-11-09,BOS,OTT,2.0,3.0,0.0,0.5204125949747713,0.5204125949747713,BOS,OTT,False,20260924,,,
2024020227,2024-11-09,TOR,MTL,4.0,1.0,1.0,0.5903004631652133,0.5903004631652133,TOR,TOR,True,20260924,,,
2024020228,2024-11-09,DET,NYR,0.0,4.0,0.0,0.5647730155694267,0.5647730155694267,DET,NYR,False,20260924,,,
2024020229,2024-11-09,STL,WSH,1.0,8.0,0.0,0.5854700589625504,0.5854700589625504,STL,WSH,False,20260924,,,
2024020230,2024-11-09,WPG,DAL,4.0,1.0,1.0,0.6083418756832382,0.6083418756832382,WPG,WPG,True,20260924,,,
2024020231,2024-11-09,NYI,NJD,3.0,4.0,0.0,0.5624166307530024,0.5624166307530024,NYI,NJD,False,20260924,,,
2024020232,2024-11-09,NSH,UTA,4.0,0.0,1.0,0.5076773128392416,0.5076773128392416,NSH,NSH,True,20260924,,,
2024020233,2024-11-09,COL,CAR,6.0,4.0,1.0,0.5581467798740192,0.5581467798740192,COL,COL,True,20260924,,,
2024020234,2024-11-09,LAK,CBJ,5.0,2.0,1.0,0.5313195081228672,0.5313195081228672,LAK,LAK,True,20260924,,,
2024020235,2024-11-09,VAN,EDM,3.0,7.0,0.0,0.5974815455273238,0.5974815455273238,VAN,EDM,False,20260924,,,
2024020236,2024-11-10,NJD,SJS,0.0,1.0,0.0,0.5493475377721819,0.5493475377721819,NJD,SJS,False,20260924,,,
2024020237,2024-11-10,CHI,MIN,2.0,1.0,1.0,0.5493475377721819,0.5493475377721819,CHI,CHI,True,20260924,,,
2024020238,2024-11-10,ANA,CBJ,4.0,2.0,1.0,0.5493475377721819,0.5493475377721819,ANA,ANA,True,20260924,,,
2024020239,2024-11-11,BUF,MTL,5.0,7.0,0.0,0.5493475377721819,0.5493475377721819,BUF,MTL,False,20260924,,,
2024020240,2024-11-11,PHI,SJS,4.0,3.0,1.0,0.5493475377721819,0.5493475377721819,PHI,PHI,True,20260924,,,
2024020241,2024-11-11,PIT,DAL,1.0,7.0,0.0,0.5493475377721819,0.5493475377721819,PIT,DAL,False,20260924,,,
2024020242,2024-11-11,CGY,LAK,3.0,1.0,1.0,0.5493475377721819,0.5493475377721819,CGY,CGY,True,20260924,,,
2024020243,2024-11-11,COL,NSH,3.0,2.0,1.0,0.5493475377721819,0.5493475377721819,COL,COL,True,20260924,,,
2024020244,2024-11-11,VGK,CAR,2.0,5.0,0.0,0.5493475377721819,0.5493475377721819,VGK,CAR,False,20260924,,,
2024020245,2024-11-12,TOR,OTT,0.0,3.0,0.0,0.5493475377721819,0.5493475377721819,TOR,OTT,False,20260924,,,
2024020246,2024-11-12,FLA,NJD,1.0,4.0,0.0,0.5493475377721819,0.5493475377721819,FLA,NJD,False,20260924,,,
2024020247,2024-11-12,NYR,WPG,3.0,6.0,0.0,0.5493475377721819,0.5493475377721819,NYR,WPG,False,20260924,,,
2024020248,2024-11-12,STL,BOS,2.0,3.0,0.0,0.5493475377721819,0.5493475377721819,STL,BOS,False,20260924,,,
2024020249,2024-11-12,EDM,NYI,4.0,3.0,1.0,0.5493475377721819,0.5493475377721819,EDM,EDM,True,20260924,,,
2024020250,2024-11-12,VAN,CGY,3.0,1.0,1.0,0.5493475377721819,0.5493475377721819,VAN,VAN,True,20260924,,,
2024020251,2024-11-12,SEA,CBJ,5.0,2.0,1.0,0.5493475377721819,0.5493475377721819,SEA,SEA,True,20260924,,,
2024020252,2024-11-13,PIT,DET,2.0,3.0,0.0,0.5493475377721819,0.5493475377721819,PIT,DET,False,20260924,,,
