stadium,gameday,temp_f,wind_mph,precip_in,snow_in,source
Lincoln Financial Field,2018-09-06,82.4,15.7,0.059,0.0,open-meteo-archive
Bank of America Stadium,2018-09-09,79.7,19.2,0.256,0.0,open-meteo-archive
FirstEnergy Stadium,2018-09-09,59.6,28.9,0.744,0.0,open-meteo-archive
Gillette Stadium,2018-09-09,58.8,25.9,0.004,0.0,open-meteo-archive
Hard Rock Stadium,2018-09-09,77.6,20.8,0.48,0.0,open-meteo-archive
Lambeau Field,2018-09-09,59.0,24.4,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2018-09-09,61.9,34.0,1.661,0.0,open-meteo-archive
MetLife Stadium,2018-09-09,59.8,20.8,0.496,0.0,open-meteo-archive
Sports Authority Field at Mile High,2018-09-09,69.3,24.6,0.0,0.0,open-meteo-archive
StubHub Center,2018-09-09,72.9,22.4,0.0,0.0,open-meteo-archive
Oakland-Alameda County Coliseum,2018-09-10,62.7,17.7,0.0,0.0,open-meteo-archive
Paul Brown Stadium,2018-09-13,71.7,10.1,0.0,0.0,open-meteo-archive
FedExField,2018-09-16,71.9,21.9,0.051,0.0,open-meteo-archive
Heinz Field,2018-09-16,72.0,21.3,0.0,0.0,open-meteo-archive
Lambeau Field,2018-09-16,71.9,19.7,0.012,0.0,open-meteo-archive
Levi's Stadium,2018-09-16,62.4,27.1,0.0,0.0,open-meteo-archive
Los Angeles Memorial Coliseum,2018-09-16,70.4,24.4,0.0,0.0,open-meteo-archive
MetLife Stadium,2018-09-16,71.0,17.7,0.0,0.0,open-meteo-archive
New Era Field,2018-09-16,74.7,10.1,0.004,0.0,open-meteo-archive
Nissan Stadium,2018-09-16,77.3,24.4,0.0,0.0,open-meteo-archive
Raymond James Stadium,2018-09-16,83.1,17.4,0.047,0.0,open-meteo-archive
Sports Authority Field at Mile High,2018-09-16,75.8,21.5,0.0,0.0,open-meteo-archive
TIAA Bank Stadium,2018-09-16,83.8,25.5,0.012,0.0,open-meteo-archive
Soldier Field,2018-09-17,76.4,15.9,0.004,0.0,open-meteo-archive
FirstEnergy Stadium,2018-09-20,69.6,18.8,0.043,0.0,open-meteo-archive
Arrowhead Stadium,2018-09-23,64.8,16.3,0.0,0.0,open-meteo-archive
Bank of America Stadium,2018-09-23,74.7,12.5,0.035,0.0,open-meteo-archive
CenturyLink Field,2018-09-23,57.1,32.2,0.0,0.0,open-meteo-archive
FedExField,2018-09-23,62.3,19.5,1.197,0.0,open-meteo-archive
Hard Rock Stadium,2018-09-23,80.5,19.2,0.126,0.0,open-meteo-archive
Lincoln Financial Field,2018-09-23,61.6,13.9,0.291,0.0,open-meteo-archive
Los Angeles Memorial Coliseum,2018-09-23,69.9,28.2,0.0,0.0,open-meteo-archive
M&T Bank Stadium,2018-09-23,62.0,15.4,1.106,0.0,open-meteo-archive
TIAA Bank Stadium,2018-09-23,80.0,19.9,0.051,0.0,open-meteo-archive
Raymond James Stadium,2018-09-24,80.4,15.4,0.126,0.0,open-meteo-archive
Los Angeles Memorial Coliseum,2018-09-27,70.0,23.0,0.0,0.0,open-meteo-archive
Gillette Stadium,2018-09-30,57.3,16.8,0.0,0.0,open-meteo-archive
Heinz Field,2018-09-30,59.7,14.8,0.0,0.0,open-meteo-archive
Lambeau Field,2018-09-30,47.3,12.3,0.012,0.0,open-meteo-archive
