feature,current_mean,baseline_mean,psi,psi_adjusted,noise_floor,mean_shift,shift_se,location_shift,status,weight_pct,n_baseline,n_current
is_home,1.0,1.0,0.0,0.0,0.066667,0.0,0.0,False,OK,0.0,270,90
win_pct_diff,0.0012,-0.0011,0.209703,0.143036,0.066667,0.002327,0.013422,False,OK,4.652,270,90
elo_diff,-4.9005,-1.0468,0.181391,0.114724,0.066667,-3.853629,15.068463,False,OK,3.525,270,90
rest_days_diff,0.0444,-0.0111,0.052372,0.0,0.066667,0.055556,0.055254,False,OK,0.056,270,90
sp_era_diff,-0.0671,0.0757,0.14901,0.082029,0.066981,-0.14275,0.374958,False,OK,2.335,265,90
sp_era_5g_diff,-0.2032,0.0068,0.135727,0.068873,0.066854,-0.209931,0.543484,False,OK,4.639,267,90
sp_fbvelo_diff,-0.6803,0.003,0.143195,0.076341,0.066854,-0.683311,0.521932,False,OK,2.99,267,90
lineup_woba_mean_diff,-0.0005,-0.0002,0.078463,0.011796,0.066667,-0.000302,0.002596,False,OK,2.572,270,90
lineup_woba_top3_diff,0.0026,-0.0008,0.247006,0.180339,0.066667,0.003353,0.004478,False,OK,1.701,270,90
lineup_woba_std_diff,-0.0028,0.0003,0.203153,0.136486,0.066667,-0.00306,0.001934,False,OK,1.645,270,90
woba_30g_diff,0.0023,-0.0009,0.111219,0.044552,0.066667,0.00318,0.004472,False,OK,0.183,270,90
bullpen_whip_diff,0.0196,-0.0082,0.2066,0.139746,0.066854,0.027746,0.061126,False,OK,3.92,267,90
bullpen_whip_3g_diff,-0.1467,0.0165,0.115385,0.048531,0.066854,-0.163117,0.115709,False,OK,2.438,267,90
bullpen_pitches_diff,-7.6222,8.8148,0.136703,0.070036,0.066667,-16.437037,13.208139,False,OK,1.78,270,90
team_barrel_diff,0.0003,-0.0006,0.198517,0.13185,0.066667,0.000909,0.002226,False,OK,0.931,270,90
team_hardhit_diff,-0.0041,0.0035,0.066438,0.0,0.066667,-0.0076,0.009369,False,OK,0.685,270,90
