rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,LAD,LAD,1571.2,305,201,305-201,0.603,0,8-2,0.642,0.563
2,MIL,MIL,1553.8,287,199,287-199,0.591,0,6-4,0.625,0.555
3,NYY,NYY,1550.7,285,209,285-209,0.577,0,7-3,0.577,0.577
4,PHI,PHI,1548.9,276,206,276-206,0.573,0,4-6,0.627,0.519
5,SD,SD,1532.1,268,214,268-214,0.556,0,7-3,0.606,0.506
6,CHC,CHC,1531.2,262,220,262-220,0.544,0,5-5,0.583,0.504
7,CLE,CLE,1523.2,261,225,261-225,0.537,0,6-4,0.551,0.523
8,BOS,BOS,1519.8,252,224,252-224,0.529,0,6-4,0.521,0.537
9,ATL,ATL,1518.7,253,223,253-223,0.532,0,5-5,0.567,0.496
10,HOU,HOU,1517.2,250,225,250-225,0.526,0,4-6,0.54,0.513
11,AZ,AZ,1516.8,248,225,248-225,0.524,0,6-4,0.547,0.502
12,SEA,SEA,1512.8,251,234,251-234,0.518,0,5-5,0.588,0.446
13,TOR,TOR,1512.6,253,239,253-239,0.514,0,6-4,0.555,0.473
14,TB,TB,1511.8,247,226,247-226,0.522,0,7-3,0.561,0.483
15,DET,DET,1507.9,251,237,251-237,0.514,0,6-4,0.539,0.49
16,BAL,BAL,1505.6,238,238,238-238,0.5,0,3-7,0.498,0.502
17,NYM,NYM,1504.6,248,238,248-238,0.51,0,7-3,0.548,0.473
18,STL,STL,1497.8,235,239,235-239,0.496,0,4-6,0.523,0.468
19,KC,KC,1495.9,237,242,237-242,0.495,0,4-6,0.531,0.458
20,CIN,CIN,1493.5,230,245,230-245,0.484,0,4-6,0.508,0.46
21,TEX,TEX,1493.1,232,241,232-241,0.49,0,4-6,0.564,0.418
22,PIT,PIT,1483.1,222,252,222-252,0.468,0,7-3,0.517,0.421
23,SF,SF,1482.0,223,250,223-250,0.471,0,5-5,0.508,0.435
24,MIN,MIN,1478.7,222,251,222-251,0.469,0,3-7,0.506,0.432
25,MIA,MIA,1472.0,215,259,215-259,0.454,0,3-7,0.471,0.436
26,ATH,ATH,1464.0,205,268,205-268,0.433,0,7-3,0.432,0.435
27,WSH,WSH,1463.5,207,268,207-268,0.436,0,3-7,0.445,0.426
28,LAA,LAA,1440.8,191,282,191-282,0.404,0,3-7,0.428,0.38
29,CWS,CWS,1413.8,177,296,177-296,0.374,0,3-7,0.419,0.329
30,COL,COL,1403.4,159,314,159-314,0.336,0,2-8,0.395,0.279
