game_pk,game_date,kind,home_expected_runs,away_expected_runs,alpha_home,alpha_away,p_over_6_5,p_over_7_0,p_over_7_5,p_over_8_0,p_over_8_5,p_over_9_0,p_over_9_5,p_over_10_0,p_over_10_5,p_over_11_0,p_over_11_5,p_over_12_0,p_over_12_5,p_push_6_5,p_push_7_0,p_push_7_5,p_push_8_0,p_push_8_5,p_push_9_0,p_push_9_5,p_push_10_0,p_push_10_5,p_push_11_0,p_push_11_5,p_push_12_0,p_push_12_5,p_under_6_5,p_under_7_0,p_under_7_5,p_under_8_0,p_under_8_5,p_under_9_0,p_under_9_5,p_under_10_0,p_under_10_5,p_under_11_0,p_under_11_5,p_under_12_0,p_under_12_5,p_home_cover_0_5,p_home_cover_1_5,p_home_cover_2_5,p_home_cover_3_5,p_rl_1_0_home,p_rl_1_0_push,p_rl_1_0_away,p_rl_1_5_home,p_rl_1_5_push,p_rl_1_5_away,p_rl_2_0_home,p_rl_2_0_push,p_rl_2_0_away,p_rl_2_5_home,p_rl_2_5_push,p_rl_2_5_away,p_rl_3_0_home,p_rl_3_0_push,p_rl_3_0_away,p_rl_3_5_home,p_rl_3_5_push,p_rl_3_5_away,p_rl_4_0_home,p_rl_4_0_push,p_rl_4_0_away,p_home_win_derived,p_away_win_derived,home_score,away_score,total_runs,ml_win_prob,agreement_conflict
745111,2024-04-02,oof,4.4781,5.3915,0.2557,0.2887,0.7378,0.6485,0.6485,0.5619,0.5619,0.4773,0.4773,0.3986,0.3986,0.3268,0.3268,0.2646,0.2646,0.0,0.0893,0.0,0.0866,0.0,0.0846,0.0,0.0787,0.0,0.0718,0.0,0.0622,0.0,0.2622,0.2622,0.3515,0.3515,0.4381,0.4381,0.5227,0.5227,0.6014,0.6014,0.6732,0.6732,0.7354,0.45731,0.3033,0.2236,0.1612,0.3033,0.15401,0.54269,0.3033,0.0,0.6967,0.2236,0.0797,0.6967,0.2236,0.0,0.7764,0.1612,0.0624,0.7764,0.1612,0.0,0.8388,0.1151,0.0461,0.8388,0.45731,0.54269,5,2,7,,False
745273,2024-04-02,oof,4.4781,5.3915,0.2557,0.2887,0.7275,0.6449,0.6449,0.5576,0.5576,0.474,0.474,0.3955,0.3955,0.3256,0.3256,0.259,0.259,0.0,0.0826,0.0,0.0873,0.0,0.0836,0.0,0.0785,0.0,0.0699,0.0,0.0666,0.0,0.2725,0.2725,0.3551,0.3551,0.4424,0.4424,0.526,0.526,0.6045,0.6045,0.6744,0.6744,0.741,0.45984,0.3034,0.2289,0.1654,0.3034,0.15644,0.54016,0.3034,0.0,0.6966,0.2289,0.0745,0.6966,0.2289,0.0,0.7711,0.1654,0.0635,0.7711,0.1654,0.0,0.8346,0.1188,0.0466,0.8346,0.45984,0.54016,2,5,7,,False
745439,2024-04-02,oof,4.4781,5.3915,0.2557,0.2887,0.7364,0.6474,0.6474,0.5608,0.5608,0.4738,0.4738,0.3939,0.3939,0.3225,0.3225,0.2622,0.2622,0.0,0.089,0.0,0.0866,0.0,0.087,0.0,0.0799,0.0,0.0714,0.0,0.0603,0.0,0.2636,0.2636,0.3526,0.3526,0.4392,0.4392,0.5262,0.5262,0.6061,0.6061,0.6775,0.6775,0.7378,0.45752,0.2972,0.2242,0.1628,0.2972,0.16032,0.54248,0.2972,0.0,0.7028,0.2242,0.073,0.7028,0.2242,0.0,0.7758,0.1628,0.0614,0.7758,0.1628,0.0,0.8372,0.1133,0.0495,0.8372,0.45752,0.54248,2,5,7,,False
745598,2024-04-02,oof,4.4781,5.3915,0.2557,0.2887,0.7309,0.644,0.644,0.557,0.557,0.47,0.47,0.3893,0.3893,0.3187,0.3187,0.2577,0.2577,0.0,0.0869,0.0,0.087,0.0,0.087,0.0,0.0807,0.0,0.0706,0.0,0.061,0.0,0.2691,0.2691,0.356,0.356,0.443,0.443,0.53,0.53,0.6107,0.6107,0.6813,0.6813,0.7423,0.45761,0.3014,0.2281,0.1652,0.3014,0.15621,0.54239,0.3014,0.0,0.6986,0.2281,0.0733,0.6986,0.2281,0.0,0.7719,0.1652,0.0629,0.7719,0.1652,0.0,0.8348,0.1126,0.0526,0.8348,0.45761,0.54239,9,4,13,,False
745680,2024-04-02,oof,4.4781,5.3915,0.2557,0.2887,0.7336,0.6508,0.6508,0.5606,0.5606,0.4731,0.4731,0.3861,0.3861,0.3149,0.3149,0.2534,0.2534,0.0,0.0828,0.0,0.0902,0.0,0.0875,0.0,0.087,0.0,0.0712,0.0,0.0615,0.0,0.2664,0.2664,0.3492,0.3492,0.4394,0.4394,0.5269,0.5269,0.6139,0.6139,0.6851,0.6851,0.7466,0.45328,0.2999,0.2222,0.1647,0.2999,0.15338,0.54672,0.2999,0.0,0.7001,0.2222,0.0777,0.7001,0.2222,0.0,0.7778,0.1647,0.0575,0.7778,0.1647,0.0,0.8353,0.1145,0.0502,0.8353,0.45328,0.54672,4,5,9,,False
746009,2024-04-02,oof,4.4781,5.3915,0.2557,0.2887,0.752,0.664,0.664,0.5731,0.5731,0.4828,0.4828,0.4052,0.4052,0.3301,0.3301,0.2666,0.2666,0.0,0.088,0.0,0.0909,0.0,0.0903,0.0,0.0776,0.0,0.0751,0.0,0.0635,0.0,0.248,0.248,0.336,0.336,0.4269,0.4269,0.5172,0.5172,0.5948,0.5948,0.6699,0.6699,0.7334,0.4474,0.2945,0.2183,0.1581,0.2945,0.1529,0.5526,0.2945,0.0,0.7055,0.2183,0.0762,0.7055,0.2183,0.0,0.7817,0.1581,0.0602,0.7817,0.1581,0.0,0.8419,0.1123,0.0458,0.8419,0.4474,0.5526,3,2,5,,False
746086,2024-04-02,oof,4.4781,5.3915,0.2557,0.2887,0.7341,0.648,0.648,0.5608,0.5608,0.472,0.472,0.3923,0.3923,0.3191,0.3191,0.2519,0.2519,0.0,0.0861,0.0,0.0872,0.0,0.0888,0.0,0.0797,0.0,0.0732,0.0,0.0672,0.0,0.2659,0.2659,0.352,0.352,0.4392,0.4392,0.528,0.528,0.6077,0.6077,0.6809,0.6809,0.7481,0.44845,0.292,0.2173,0.1573,0.292,0.15645,0.55155,0.292,0.0,0.708,0.2173,0.0747,0.708,0.2173,0.0,0.7827,0.1573,0.06,0.7827,0.1573,0.0,0.8427,0.1142,0.0431,0.8427,0.44845,0.55155,1,3,4,,False
746169,2024-04-02,oof,4.4781,5.3915,0.2557,0.2887,0.7428,0.6502,0.6502,0.5573,0.5573,0.4744,0.4744,0.395,0.395,0.3232,0.3232,0.2611,0.2611,0.0,0.0926,0.0,0.0929,0.0,0.0829,0.0,0.0794,0.0,0.0718,0.0,0.0621,0.0,0.2572,0.2572,0.3498,0.3498,0.4427,0.4427,0.5256,0.5256,0.605,0.605,0.6768,0.6768,0.7389,0.45659,0.3019,0.2264,0.1647,0.3019,0.15469,0.54341,0.3019,0.0,0.6981,0.2264,0.0755,0.6981,0.2264,0.0,0.7736,0.1647,0.0617,0.7736,0.1647,0.0,0.8353,0.1146,0.0501,0.8353,0.45659,0.54341,5,4,9,,False
746411,2024-04-02,oof,4.4781,5.3915,0.2557,0.2887,0.7419,0.6578,0.6578,0.5711,0.5711,0.4848,0.4848,0.4091,0.4091,0.3342,0.3342,0.2694,0.2694,0.0,0.0841,0.0,0.0867,0.0,0.0863,0.0,0.0757,0.0,0.0749,0.0,0.0648,0.0,0.2581,0.2581,0.3422,0.3422,0.4289,0.4289,0.5152,0.5152,0.5909,0.5909,0.6658,0.6658,0.7306,0.4462,0.2938,0.2153,0.1599,0.2938,0.1524,0.5538,0.2938,0.0,0.7062,0.2153,0.0785,0.7062,0.2153,0.0,0.7847,0.1599,0.0554,0.7847,0.1599,0.0,0.8401,0.1131,0.0468,0.8401,0.4462,0.5538,1,2,3,,False
746814,2024-04-02,oof,4.4781,5.3915,0.2557,0.2887,0.7371,0.6524,0.6524,0.5669,0.5669,0.4814,0.4814,0.4027,0.4027,0.3313,0.3313,0.2688,0.2688,0.0,0.0847,0.0,0.0855,0.0,0.0855,0.0,0.0787,0.0,0.0714,0.0,0.0625,0.0,0.2629,0.2629,0.3476,0.3476,0.4331,0.4331,0.5186,0.5186,0.5973,0.5973,0.6687,0.6687,0.7312,0.45084,0.2994,0.2241,0.1603,0.2994,0.15144,0.54916,0.2994,0.0,0.7006,0.2241,0.0753,0.7006,0.2241,0.0,0.7759,0.1603,0.0638,0.7759,0.1603,0.0,0.8397,0.1129,0.0474,0.8397,0.45084,0.54916,3,2,5,,False
