game_pk,game_date,home_expected_runs,away_expected_runs,home_score,away_score
747208,2024-05-03,3.8418,4.2425,1,7
744862,2024-05-04,4.2469,3.8486,3,6
745100,2024-05-04,3.6317,5.1651,3,1
745183,2024-05-04,4.2028,3.9168,5,6
745511,2024-05-04,4.5451,4.0002,1,0
745583,2024-05-04,4.7506,3.9077,14,3
745666,2024-05-04,4.6987,3.9437,20,4
745750,2024-05-04,4.0588,4.2172,5,3
745911,2024-05-04,3.8777,4.4043,3,1
746155,2024-05-04,4.5064,4.0281,11,2
746311,2024-05-04,4.5993,4.071,4,15
746394,2024-05-04,4.1209,4.4803,0,5
746644,2024-05-04,4.1498,4.1888,7,1
746720,2024-05-04,3.7409,5.2351,1,2
746884,2024-05-04,3.6084,4.4542,6,5
747209,2024-05-04,3.5272,4.6976,1,13
744861,2024-05-05,3.2099,4.9401,11,8
745103,2024-05-05,4.0669,4.165,7,6
745185,2024-05-05,4.4621,3.7319,1,5
745504,2024-05-05,4.1312,3.7041,5,3
745587,2024-05-05,4.3009,3.5344,5,4
745667,2024-05-05,4.4962,3.7293,3,12
745751,2024-05-05,4.2188,4.3063,5,2
745913,2024-05-05,3.8652,4.456,2,9
746153,2024-05-05,4.5333,3.9775,5,1
746314,2024-05-05,3.7309,4.5882,2,3
746395,2024-05-05,3.8034,4.8129,4,5
746643,2024-05-05,4.2184,4.1323,4,1
746719,2024-05-05,3.6738,5.6959,1,11
746883,2024-05-05,3.8439,4.8886,5,0
747206,2024-05-05,3.6596,5.0663,11,4
745098,2024-05-06,4.6164,3.9504,8,2
745182,2024-05-06,3.9489,4.3246,3,4
745509,2024-05-06,4.1172,3.9671,4,1
745585,2024-05-06,4.2519,4.7048,6,1
745669,2024-05-06,3.9296,3.6209,2,4
745912,2024-05-06,4.0037,4.7429,3,1
746149,2024-05-06,4.5684,3.9599,6,3
746313,2024-05-06,4.0426,4.5706,3,2
746639,2024-05-06,3.7078,4.6139,2,1
746886,2024-05-06,3.8493,4.6088,3,6
744859,2024-05-07,3.8913,4.7993,3,0
745095,2024-05-07,5.4389,3.8203,5,1
745186,2024-05-07,3.9244,3.9708,5,7
745508,2024-05-07,4.0637,4.2651,0,9
745586,2024-05-07,4.5543,3.9296,10,1
745668,2024-05-07,4.7505,4.3896,8,15
745752,2024-05-07,4.4568,4.0957,10,3
745915,2024-05-07,4.0652,4.5183,6,10
746147,2024-05-07,4.3489,3.6842,8,2
746315,2024-05-07,4.4038,4.3852,5,6
746559,2024-05-07,3.9407,3.993,0,5
746638,2024-05-07,3.6833,4.253,7,11
746718,2024-05-07,3.8395,4.3307,2,6
746885,2024-05-07,3.9702,4.102,3,2
747126,2024-05-07,4.0842,4.1019,4,2
744858,2024-05-08,3.4011,4.2687,6,7
745097,2024-05-08,4.8227,3.6769,1,4
745507,2024-05-08,4.1414,4.5914,4,5
745584,2024-05-08,4.5256,3.7335,3,5
745659,2024-05-08,3.9426,5.1563,11,12
745664,2024-05-08,4.1947,4.0039,9,4
745749,2024-05-08,4.2467,3.7387,9,4
745906,2024-05-08,4.0551,4.4084,6,3
746151,2024-05-08,5.0001,3.859,3,1
746312,2024-05-08,3.9867,4.2702,6,4
746562,2024-05-08,3.6072,4.4918,6,8
746640,2024-05-08,3.6897,4.6374,5,4
746717,2024-05-08,3.9403,4.2768,3,4
746879,2024-05-08,3.7538,4.0712,0,3
747127,2024-05-08,4.081,4.4542,5,0
745748,2024-05-09,4.3738,3.6153,3,4
745910,2024-05-09,3.6672,4.376,11,1
745995,2024-05-09,5.047,3.5105,7,1
746241,2024-05-09,4.303,4.4855,4,10
746563,2024-05-09,3.907,5.1104,9,1
746715,2024-05-09,4.1497,4.604,4,5
746802,2024-05-09,4.3966,4.4812,3,2
744940,2024-05-10,3.6127,4.5378,2,3
745094,2024-05-10,3.6944,4.2647,0,2
745264,2024-05-10,3.944,4.9474,8,1
745340,2024-05-10,4.4837,4.0998,2,4
745421,2024-05-10,3.6307,4.4993,2,1
745506,2024-05-10,4.1898,4.1148,2,7
745827,2024-05-10,4.2971,4.5345,2,4
745993,2024-05-10,4.7335,3.3572,11,2
746071,2024-05-10,3.7849,4.8961,2,8
746240,2024-05-10,4.5947,4.334,1,2
746479,2024-05-10,4.5871,3.9323,2,5
746553,2024-05-10,4.1027,4.465,4,2
746801,2024-05-10,4.9518,4.4816,6,3
746964,2024-05-10,4.1387,4.6248,1,5
747043,2024-05-10,4.8595,3.5808,4,2
