rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,LAD,LAD,1572.2,296,197,296-197,0.6,0,6-4,0.637,0.565
2,MIL,MIL,1552.8,279,193,279-193,0.591,0,7-3,0.622,0.558
3,NYY,NYY,1550.4,276,205,276-205,0.574,0,6-4,0.568,0.579
4,PHI,PHI,1547.9,269,199,269-199,0.575,0,8-2,0.632,0.517
5,SD,SD,1532.1,260,210,260-210,0.553,0,5-5,0.6,0.506
6,CHC,CHC,1531.2,256,212,256-212,0.547,0,4-6,0.585,0.509
7,CLE,CLE,1524.3,253,219,253-219,0.536,0,7-3,0.549,0.523
8,BOS,BOS,1517.7,245,218,245-218,0.529,0,6-4,0.526,0.532
9,ATL,ATL,1517.5,246,216,246-216,0.532,0,7-3,0.569,0.496
10,HOU,HOU,1517.2,243,218,243-218,0.527,0,5-5,0.539,0.515
11,AZ,AZ,1516.3,242,220,242-220,0.524,0,6-4,0.55,0.498
12,SEA,SEA,1514.2,245,227,245-227,0.519,0,5-5,0.593,0.445
13,TOR,TOR,1512.2,245,234,245-234,0.511,0,5-5,0.551,0.47
14,TB,TB,1510.3,238,221,238-221,0.519,0,6-4,0.557,0.48
15,DET,DET,1509.5,244,230,244-230,0.515,0,2-8,0.534,0.496
16,BAL,BAL,1506.1,233,229,233-229,0.504,0,6-4,0.504,0.504
17,NYM,NYM,1504.4,240,233,240-233,0.507,0,4-6,0.549,0.466
18,STL,STL,1498.2,229,232,229-232,0.497,0,3-7,0.524,0.469
19,KC,KC,1496.0,233,234,233-234,0.499,0,9-1,0.539,0.46
20,CIN,CIN,1494.0,224,238,224-238,0.485,0,4-6,0.504,0.466
21,TEX,TEX,1493.9,225,235,225-235,0.489,0,4-6,0.564,0.416
22,SF,SF,1482.8,217,244,217-244,0.471,0,4-6,0.506,0.435
23,PIT,PIT,1482.5,213,248,213-248,0.462,0,5-5,0.513,0.412
24,MIN,MIN,1479.3,216,244,216-244,0.47,0,3-7,0.504,0.435
25,MIA,MIA,1471.8,210,251,210-251,0.456,0,5-5,0.476,0.435
26,ATH,ATH,1465.2,198,262,198-262,0.43,0,4-6,0.43,0.43
27,WSH,WSH,1464.3,202,261,202-261,0.436,0,4-6,0.435,0.437
28,LAA,LAA,1441.6,187,273,187-273,0.407,0,2-8,0.431,0.382
29,CWS,CWS,1411.2,173,286,173-286,0.377,0,7-3,0.422,0.332
30,COL,COL,1403.6,156,304,156-304,0.339,0,2-8,0.392,0.288
