hp_umpire_id,hp_umpire_name,season,games_worked,mean_runs_game,trailing_runs_game,called_pitch_n,called_strike_rate
658536,Austin Jones,2024,16,7.142857142857143,7.142857142857143,,
664263,Edwin Jimenez,2024,28,8.772727272727273,8.772727272727273,,
665277,Sam Burch,2024,1,,,,
665278,Ben Phillips,2024,1,,,,
665280,Darius Ghani,2024,1,,,,
665281,Brian Walsh,2024,40,9.121212121212121,9.08,,
665293,Reed Basner,2024,2,,,,
665294,Mark Bass,2024,1,,,,
665297,Tom Hanahan,2024,34,9.392857142857142,9.56,,
665298,Dexter Kelley,2024,6,,,,
665299,Louie Krupa,2024,1,,,,
665576,Brock Ballou,2024,18,7.818181818181818,7.818181818181818,,
668921,Jen Pawol,2024,7,,,,
668924,Kelvis Velez,2024,1,,,,
670636,Tanner Dobson,2024,1,,,,
670688,Mark Stewart Jr.,2024,1,,,,
670695,Matt Brown,2024,7,,,,
676580,Steven Jaschinski,2024,7,,,,
676581,James Jean,2024,13,11.0,11.0,,
677389,Ty Krauss,2024,1,,,,
681783,Casey James,2024,1,,,,
681849,Felix Neon,2024,1,,,,
691042,Willie Traynor,2024,1,,,,
700499,Macon Hammond,2024,2,,,,
823600,Minho Lee,2024,1,,,,
427013,Lance Barksdale,2025,38,8.93939393939394,9.2,,
427044,CB Bucknor,2025,33,8.464285714285714,8.52,,
427053,Mark Carlson,2025,8,8.6,8.6,,
427093,Phil Cuzzi,2025,34,7.032258064516129,6.84,,
427113,Laz Diaz,2025,35,9.129032258064516,8.92,,
427128,Rob Drake,2025,7,9.0,9.0,,
427129,Bruce Dreckman,2025,26,8.458333333333334,8.458333333333334,,
427139,Doug Eddings,2025,36,9.970588235294118,10.76,,
427164,Andy Fletcher,2025,32,10.517241379310345,10.24,,
427197,Chris Guccione,2025,37,9.387096774193548,8.68,,
427243,Marvin Hudson,2025,32,8.0,8.12,,
427248,Dan Iassogna,2025,35,8.413793103448276,8.04,,
427292,Ron Kulpa,2025,27,7.782608695652174,7.782608695652174,,
427315,Alfonso Márquez,2025,37,9.875,10.48,,
427344,Bill Miller,2025,35,9.5,9.92,,
427366,Brian O'Nora,2025,34,9.03448275862069,9.72,,
427413,Tony Randazzo,2025,30,8.37037037037037,8.32,,
427533,Mark Wegner,2025,35,9.67741935483871,10.16,,
427537,Hunter Wendelstedt,2025,6,8.0,8.0,,
427554,Jim Wolf,2025,35,9.466666666666667,9.72,,
428442,James Hoye,2025,33,8.774193548387096,9.12,,
429805,Todd Tichenor,2025,33,8.133333333333333,8.44,,
431232,Chad Fairchild,2025,29,9.346153846153847,9.44,,
482608,Scott Barry,2025,32,8.96551724137931,9.76,,
