rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,LAD,LAD,1571.2,311,202,311-202,0.606,0,7-3,0.646,0.566
2,MIL,MIL,1553.6,292,200,292-200,0.593,0,8-2,0.625,0.561
3,NYY,NYY,1550.7,288,212,288-212,0.576,0,6-4,0.577,0.575
4,PHI,PHI,1548.9,279,209,279-209,0.572,0,4-6,0.627,0.518
5,SD,SD,1532.8,275,215,275-215,0.561,0,9-1,0.611,0.512
6,CHC,CHC,1531.1,266,222,266-222,0.545,0,6-4,0.584,0.506
7,CLE,CLE,1522.8,266,226,266-226,0.541,0,7-3,0.558,0.523
8,BOS,BOS,1520.1,255,228,255-228,0.528,0,4-6,0.523,0.533
9,ATL,ATL,1518.8,257,225,257-225,0.533,0,7-3,0.567,0.5
10,HOU,HOU,1516.9,252,229,252-229,0.524,0,3-7,0.535,0.513
11,AZ,AZ,1516.8,251,229,251-229,0.523,0,4-6,0.543,0.502
12,TB,TB,1513.7,252,227,252-227,0.526,0,8-2,0.568,0.483
13,TOR,TOR,1512.8,255,244,255-244,0.511,0,4-6,0.552,0.47
14,SEA,SEA,1512.7,254,238,254-238,0.516,0,5-5,0.588,0.446
15,DET,DET,1507.7,255,241,255-241,0.514,0,6-4,0.541,0.488
16,BAL,BAL,1505.8,242,241,242-241,0.501,0,5-5,0.494,0.508
17,NYM,NYM,1504.8,250,243,250-243,0.507,0,3-7,0.54,0.473
18,STL,STL,1496.8,237,243,237-243,0.494,0,4-6,0.519,0.468
19,KC,KC,1496.0,238,248,238-248,0.49,0,3-7,0.531,0.449
20,TEX,TEX,1493.1,237,243,237-243,0.494,0,6-4,0.567,0.421
21,CIN,CIN,1493.0,232,250,232-250,0.481,0,3-7,0.502,0.46
22,PIT,PIT,1484.5,226,254,226-254,0.471,0,6-4,0.521,0.421
23,SF,SF,1481.7,226,255,226-255,0.47,0,3-7,0.508,0.432
24,MIN,MIN,1478.1,225,256,225-256,0.468,0,4-6,0.504,0.432
25,MIA,MIA,1471.9,217,263,217-263,0.452,0,4-6,0.471,0.433
26,ATH,ATH,1463.8,206,274,206-274,0.429,0,3-7,0.435,0.424
27,WSH,WSH,1463.1,210,271,210-271,0.437,0,6-4,0.446,0.427
28,LAA,LAA,1439.6,195,285,195-285,0.406,0,4-6,0.432,0.38
29,CWS,CWS,1414.9,181,299,181-299,0.377,0,5-5,0.425,0.329
30,COL,COL,1402.0,161,319,161-319,0.335,0,2-8,0.392,0.279
