rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,LAD,LAD,1572.2,297,197,297-197,0.601,0,6-4,0.637,0.566
2,MIL,MIL,1553.0,279,194,279-194,0.59,0,7-3,0.62,0.558
3,NYY,NYY,1550.3,277,205,277-205,0.575,0,6-4,0.57,0.579
4,PHI,PHI,1547.9,270,199,270-199,0.576,0,8-2,0.632,0.519
5,SD,SD,1532.1,260,211,260-211,0.552,0,4-6,0.6,0.504
6,CHC,CHC,1531.3,256,213,256-213,0.546,0,3-7,0.583,0.509
7,CLE,CLE,1524.3,254,219,254-219,0.537,0,8-2,0.55,0.523
8,BOS,BOS,1517.9,245,219,245-219,0.528,0,6-4,0.526,0.53
9,ATL,ATL,1517.7,247,216,247-216,0.533,0,8-2,0.571,0.496
10,HOU,HOU,1517.1,244,218,244-218,0.528,0,5-5,0.539,0.517
11,AZ,AZ,1516.3,242,220,242-220,0.524,0,6-4,0.55,0.498
12,SEA,SEA,1514.3,245,228,245-228,0.518,0,4-6,0.593,0.443
13,TOR,TOR,1512.1,246,234,246-234,0.512,0,6-4,0.553,0.47
14,TB,TB,1510.6,239,221,239-221,0.52,0,6-4,0.558,0.48
15,DET,DET,1509.7,244,231,244-231,0.514,0,2-8,0.532,0.496
16,BAL,BAL,1506.0,234,229,234-229,0.505,0,7-3,0.504,0.506
17,NYM,NYM,1504.4,240,234,240-234,0.506,0,4-6,0.546,0.466
18,STL,STL,1498.2,229,233,229-233,0.496,0,3-7,0.521,0.469
19,KC,KC,1495.9,233,235,233-235,0.498,0,8-2,0.539,0.458
20,CIN,CIN,1493.8,225,238,225-238,0.486,0,4-6,0.504,0.468
21,TEX,TEX,1493.7,226,235,226-235,0.49,0,5-5,0.564,0.419
22,SF,SF,1482.9,217,244,217-244,0.471,0,4-6,0.506,0.435
23,PIT,PIT,1482.5,214,248,214-248,0.463,0,5-5,0.513,0.415
24,MIN,MIN,1479.1,217,244,217-244,0.471,0,3-7,0.506,0.435
25,MIA,MIA,1471.9,210,251,210-251,0.456,0,5-5,0.476,0.435
26,ATH,ATH,1465.2,198,263,198-263,0.43,0,4-6,0.429,0.43
27,WSH,WSH,1464.2,202,261,202-261,0.436,0,4-6,0.435,0.437
28,LAA,LAA,1441.3,187,274,187-274,0.406,0,2-8,0.429,0.382
29,CWS,CWS,1411.2,173,287,173-287,0.376,0,6-4,0.422,0.33
30,COL,COL,1403.5,156,305,156-305,0.338,0,2-8,0.392,0.286
