rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,LAD,LAD,1571.8,297,199,297-199,0.599,0,4-6,0.632,0.566
2,MIL,MIL,1552.8,281,195,281-195,0.59,0,6-4,0.62,0.56
3,NYY,NYY,1550.4,279,206,279-206,0.575,0,6-4,0.57,0.58
4,PHI,PHI,1547.9,272,200,272-200,0.576,0,7-3,0.632,0.521
5,SD,SD,1532.1,261,213,261-213,0.551,0,3-7,0.6,0.502
6,CHC,CHC,1531.2,257,215,257-215,0.544,0,4-6,0.58,0.509
7,CLE,CLE,1523.8,255,221,255-221,0.536,0,6-4,0.548,0.523
8,BOS,BOS,1518.5,246,221,246-221,0.527,0,4-6,0.524,0.53
9,ATL,ATL,1517.8,248,218,248-218,0.532,0,8-2,0.568,0.496
10,HOU,HOU,1517.1,247,219,247-219,0.53,0,7-3,0.542,0.517
11,AZ,AZ,1516.4,243,222,243-222,0.523,0,5-5,0.547,0.498
12,SEA,SEA,1514.2,247,229,247-229,0.519,0,4-6,0.593,0.446
13,TOR,TOR,1512.2,248,235,248-235,0.513,0,6-4,0.553,0.473
14,TB,TB,1511.0,240,223,240-223,0.518,0,7-3,0.556,0.48
15,DET,DET,1509.4,245,233,245-233,0.513,0,3-7,0.532,0.494
16,BAL,BAL,1506.1,235,231,235-231,0.504,0,6-4,0.504,0.504
17,NYM,NYM,1504.4,242,235,242-235,0.507,0,4-6,0.546,0.469
18,STL,STL,1498.2,231,233,231-233,0.498,0,4-6,0.521,0.474
19,KC,KC,1496.2,233,237,233-237,0.496,0,6-4,0.534,0.458
20,CIN,CIN,1493.7,227,239,227-239,0.487,0,5-5,0.506,0.468
21,TEX,TEX,1493.5,228,236,228-236,0.491,0,5-5,0.565,0.419
22,SF,SF,1482.9,219,246,219-246,0.471,0,5-5,0.506,0.436
23,PIT,PIT,1482.8,216,249,216-249,0.465,0,6-4,0.515,0.415
24,MIN,MIN,1479.0,219,245,219-245,0.472,0,4-6,0.509,0.435
25,MIA,MIA,1471.8,212,252,212-252,0.457,0,5-5,0.476,0.438
26,ATH,ATH,1465.2,199,265,199-265,0.429,0,4-6,0.429,0.429
27,WSH,WSH,1463.9,204,262,204-262,0.438,0,6-4,0.438,0.437
28,LAA,LAA,1440.8,188,276,188-276,0.405,0,1-9,0.428,0.382
29,CWS,CWS,1411.2,174,290,174-290,0.375,0,5-5,0.422,0.329
30,COL,COL,1403.4,158,306,158-306,0.341,0,4-6,0.396,0.286
