game_id,game_date,start_time_utc,home_team,away_team,home_record,away_record,home_win_prob_model,away_win_prob_model,edge_home,edge_away,sp_name_home,sp_name_away,sp_era_home,sp_k9_home,sp_era_away,sp_k9_away,venue,model_pick,home_win,home_score,away_score,total_runs,game_state,game_status_detail
20260922_TB@NYY,2026-09-22,2026-09-22 13:05:00-04:00,NYY,TB,89-66,95-60,0.5354,0.4646,0.0,0.0,Carlos Rodón,Nick Martinez,3.407767,10.223301,2.8509316,5.478261,Yankee Stadium,NYY,1.0,2,0,,post,Final
20260922_TOR@BAL,2026-09-22,2026-09-22 18:35:00-04:00,BAL,TOR,76-81,77-80,0.5455,0.4545,0.0,0.0,Chris Bassitt,Max Scherzer,4.6588235,6.9882355,5.535,6.885,Oriole Park at Camden Yards,BAL,0.0,0,0,,post,Postponed
20260922_MIL@PHI,2026-09-22,2026-09-22 18:40:00-04:00,PHI,MIL,86-70,98-58,0.6269,0.3731,0.0,0.0,Zack Wheeler,Dustin May,2.9490292,11.271845,4.420655,9.04534,Citizens Bank Park,PHI,1.0,6,4,,post,Final
20260922_STL@PIT,2026-09-22,2026-09-22 18:40:00-04:00,PIT,STL,79-77,76-80,0.5019,0.4981,0.0,0.0,Jared Jones,Andre Pallante,3.888,10.8,3.229665,6.5885167,PNC Park,PIT,1.0,2,0,,post,Final
20260922_WSH@DET,2026-09-22,2026-09-22 18:40:00-04:00,DET,WSH,74-83,73-84,0.5207,0.47929999999999995,0.0,0.0,Drew Anderson,Riley Cornelio,3.694737,9.947369,5.917808,9.986301,Comerica Park,DET,0.0,1,3,,post,Final
20260922_CLE@BOS,2026-09-22,2026-09-22 18:45:00-04:00,BOS,CLE,84-72,81-75,0.5122,0.4878,0.0,0.0,Payton Tolle,Parker Messick,3.0,10.840909,2.4545455,9.709091,Fenway Park,BOS,0.0,2,3,,post,Final
20260922_TB@NYY_2_2,2026-09-22,2026-09-22 19:05:00-04:00,NYY,TB,89-66,95-60,0.6147,0.3853,0.0,0.0,Max Fried,Drew Rasmussen,2.5071428,9.064285,2.8907924,9.250535,Yankee Stadium,NYY,,1,6,,in,Top 9th
20260922_CIN@ATL,2026-09-22,2026-09-22 19:15:00-04:00,ATL,CIN,92-64,72-84,0.6705,0.3295,0.0,0.0,JR Ritchie,Brandon Williamson,4.581818,8.672728,6.0,6.3333335,Truist Park,ATL,0.0,0,4,,post,Final
20260922_CHW@KC,2026-09-22,2026-09-22 19:40:00-04:00,KC,CWS,67-89,80-76,0.7684,0.23160000000000003,0.0,0.0,Daniel Lynch IV,Anthony Kay,3.407767,6.42233,4.532847,7.751825,Kauffman Stadium,KC,,4,14,,in,Bottom 8th
20260922_MIA@CHC,2026-09-22,2026-09-22 19:40:00-04:00,CHC,MIA,87-69,76-80,0.6511,0.3489,0.0,0.0,Shota Imanaga,Janson Junk,3.460084,8.84874,4.830671,6.3833866,Wrigley Field,CHC,,2,2,,in,Bottom 7th
20260922_NYM@TEX,2026-09-22,2026-09-22 20:05:00-04:00,TEX,NYM,78-78,71-85,0.6385,0.36150000000000004,0.0,0.0,MacKenzie Gore,Sean Manaea,4.0787234,9.880851,5.581395,8.790698,Globe Life Field,TEX,,3,5,,in,Bottom 6th
20260922_ARI@COL,2026-09-22,2026-09-22 20:40:00-04:00,COL,AZ,57-99,82-74,0.3595,0.6405000000000001,0.0,0.0,Kyle Freeland,Michael Soroka,5.9917808,7.6191783,3.2698963,8.875433,Coors Field,AZ,,2,5,,in,Top 5th
20260922_LAA@ATH,2026-09-22,2026-09-22 21:40:00-04:00,ATH,LAA,61-95,60-96,0.5482,0.4518,0.0,0.0,Brady Basso,Yusei Kikuchi,3.5660377,7.1320753,4.9411764,9.529411,Sutter Health Park,ATH,,0,1,,in,End 1st
20260922_HOU@SEA,2026-09-22,2026-09-22 21:40:00-04:00,SEA,HOU,73-83,77-79,0.5209,0.47909999999999997,0.0,0.0,Logan Gilbert,Cristian Javier,3.3884463,10.057769,4.554217,8.945783,T-Mobile Park,SEA,,0,1,,in,Bottom 1st
20260922_MIN@SF,2026-09-22,2026-09-22 21:45:00-04:00,SF,MIN,65-92,73-84,0.5184,0.48160000000000003,0.0,0.0,Anthony Molina,Taj Bradley,6.857143,8.142858,3.641079,10.643153,Oracle Park,SF,,0,0,,in,End 1st
20260922_SD@LAD,2026-09-22,2026-09-22 22:10:00-04:00,LAD,SD,96-60,87-69,0.6216,0.37839999999999996,0.0,0.0,Brock Stewart,Michael King,,,2.6727273,8.072727,Dodger Stadium,LAD,,0,0,,pre,Scheduled
