game_pk,game_date,kind,home_expected_runs,away_expected_runs,alpha_home,alpha_away,p_over_6_5,p_over_7_0,p_over_7_5,p_over_8_0,p_over_8_5,p_over_9_0,p_over_9_5,p_over_10_0,p_over_10_5,p_over_11_0,p_over_11_5,p_over_12_0,p_over_12_5,p_push_6_5,p_push_7_0,p_push_7_5,p_push_8_0,p_push_8_5,p_push_9_0,p_push_9_5,p_push_10_0,p_push_10_5,p_push_11_0,p_push_11_5,p_push_12_0,p_push_12_5,p_under_6_5,p_under_7_0,p_under_7_5,p_under_8_0,p_under_8_5,p_under_9_0,p_under_9_5,p_under_10_0,p_under_10_5,p_under_11_0,p_under_11_5,p_under_12_0,p_under_12_5,p_home_cover_0_5,p_home_cover_1_5,p_home_cover_2_5,p_home_cover_3_5,p_rl_1_0_home,p_rl_1_0_push,p_rl_1_0_away,p_rl_1_5_home,p_rl_1_5_push,p_rl_1_5_away,p_rl_2_0_home,p_rl_2_0_push,p_rl_2_0_away,p_rl_2_5_home,p_rl_2_5_push,p_rl_2_5_away,p_rl_3_0_home,p_rl_3_0_push,p_rl_3_0_away,p_rl_3_5_home,p_rl_3_5_push,p_rl_3_5_away,p_rl_4_0_home,p_rl_4_0_push,p_rl_4_0_away,p_rl_1_0_away_favorite,p_rl_1_0_away_push,p_rl_1_0_home_dog,p_rl_1_5_away_favorite,p_rl_1_5_away_push,p_rl_1_5_home_dog,p_rl_2_0_away_favorite,p_rl_2_0_away_push,p_rl_2_0_home_dog,p_rl_2_5_away_favorite,p_rl_2_5_away_push,p_rl_2_5_home_dog,p_rl_3_0_away_favorite,p_rl_3_0_away_push,p_rl_3_0_home_dog,p_rl_3_5_away_favorite,p_rl_3_5_away_push,p_rl_3_5_home_dog,p_rl_4_0_away_favorite,p_rl_4_0_away_push,p_rl_4_0_home_dog,game_id,home_team,away_team,p_home_win_derived,p_away_win_derived,home_score,away_score,total_runs,ml_win_prob,agreement_conflict
744867,2024-04-25,oof,4.0191,4.6872,0.3119,0.3076,0.646,0.551,0.551,0.4591,0.4591,0.3787,0.3787,0.3008,0.3008,0.2377,0.2377,0.186,0.186,0.0,0.095,0.0,0.0919,0.0,0.0804,0.0,0.0779,0.0,0.0631,0.0,0.0517,0.0,0.354,0.354,0.449,0.449,0.5409,0.5409,0.6213,0.6213,0.6992,0.6992,0.7623,0.7623,0.814,0.46633,0.3041,0.226,0.1594,0.3041,0.16223,0.53367,0.3041,0.0,0.6959,0.226,0.0781,0.6959,0.226,0.0,0.774,0.1594,0.0666,0.774,0.1594,0.0,0.8406,0.1116,0.0478,0.8406,0.4095,0.0986,0.4919,0.4095,0.0,0.5905,0.3181,0.0914,0.5905,0.3181,0.0,0.6819,0.2392,0.0789,0.6819,0.2392,0.0,0.7608,0.1774,0.0618,0.7608,20240425_LAD@WSH,WSH,LAD,0.46633,0.53367,1,2,3,0.513487577983047,False
745027,2024-04-25,oof,3.942,4.0248,0.3197,0.3392,0.593,0.4909,0.4909,0.4039,0.4039,0.3254,0.3254,0.256,0.256,0.1965,0.1965,0.1491,0.1491,0.0,0.1021,0.0,0.087,0.0,0.0785,0.0,0.0694,0.0,0.0595,0.0,0.0474,0.0,0.407,0.407,0.5091,0.5091,0.5961,0.5961,0.6746,0.6746,0.744,0.744,0.8035,0.8035,0.8509,0.51731,0.3368,0.2522,0.1821,0.3368,0.18051,0.48269,0.3368,0.0,0.6632,0.2522,0.0846,0.6632,0.2522,0.0,0.7478,0.1821,0.0701,0.7478,0.1821,0.0,0.8179,0.1256,0.0565,0.8179,0.3554,0.1,0.5446,0.3554,0.0,0.6446,0.2696,0.0858,0.6446,0.2696,0.0,0.7304,0.1942,0.0754,0.7304,0.1942,0.0,0.8058,0.1395,0.0547,0.8058,20240425_SEA@TEX,TEX,SEA,0.51731,0.48269,3,4,7,0.5028351880953655,False
745512,2024-04-25,oof,3.6075,4.2973,0.3535,0.3262,0.5773,0.4812,0.4812,0.3866,0.3866,0.3095,0.3095,0.2412,0.2412,0.188,0.188,0.142,0.142,0.0,0.0961,0.0,0.0946,0.0,0.0771,0.0,0.0683,0.0,0.0532,0.0,0.046,0.0,0.4227,0.4227,0.5188,0.5188,0.6134,0.6134,0.6905,0.6905,0.7588,0.7588,0.812,0.812,0.858,0.46123,0.2809,0.2057,0.1426,0.2809,0.18033,0.53877,0.2809,0.0,0.7191,0.2057,0.0752,0.7191,0.2057,0.0,0.7943,0.1426,0.0631,0.7943,0.1426,0.0,0.8574,0.098,0.0446,0.8574,0.4069,0.1022,0.4909,0.4069,0.0,0.5931,0.3105,0.0964,0.5931,0.3105,0.0,0.6895,0.2337,0.0768,0.6895,0.2337,0.0,0.7663,0.1687,0.065,0.7663,20240425_MIL@PIT,PIT,MIL,0.46123,0.53877,5,7,12,0.4681953535465867,False
745755,2024-04-25,oof,4.397,4.0061,0.2737,0.3401,0.6288,0.5281,0.5281,0.4352,0.4352,0.3532,0.3532,0.2792,0.2792,0.2166,0.2166,0.1651,0.1651,0.0,0.1007,0.0,0.0929,0.0,0.082,0.0,0.074,0.0,0.0626,0.0,0.0515,0.0,0.3712,0.3712,0.4719,0.4719,0.5648,0.5648,0.6468,0.6468,0.7208,0.7208,0.7834,0.7834,0.8349,0.56985,0.3871,0.2922,0.2135,0.3871,0.18275,0.43015,0.3871,0.0,0.6129,0.2922,0.0949,0.6129,0.2922,0.0,0.7078,0.2135,0.0787,0.7078,0.2135,0.0,0.7865,0.151,0.0625,0.7865,0.31,0.0926,0.5974,0.31,0.0,0.69,0.2308,0.0792,0.69,0.2308,0.0,0.7692,0.1666,0.0642,0.7692,0.1666,0.0,0.8334,0.1179,0.0487,0.8334,20240425_ATH@NYY,NYY,ATH,0.56985,0.43015,1,3,4,0.5321232778444208,False
745918,2024-04-25,oof,4.7417,3.9717,0.2388,0.3417,0.6573,0.5646,0.5646,0.4688,0.4688,0.3767,0.3767,0.301,0.301,0.2351,0.2351,0.1793,0.1793,0.0,0.0927,0.0,0.0958,0.0,0.0921,0.0,0.0757,0.0,0.0659,0.0,0.0558,0.0,0.3427,0.3427,0.4354,0.4354,0.5312,0.5312,0.6233,0.6233,0.699,0.699,0.7649,0.7649,0.8207,0.6013,0.4248,0.3298,0.2511,0.4248,0.1765,0.3987,0.4248,0.0,0.5752,0.3298,0.095,0.5752,0.3298,0.0,0.6702,0.2511,0.0787,0.6702,0.2511,0.0,0.7489,0.1822,0.0689,0.7489,0.2827,0.0903,0.627,0.2827,0.0,0.7173,0.2093,0.0734,0.7173,0.2093,0.0,0.7907,0.1445,0.0648,0.7907,0.1445,0.0,0.8555,0.0997,0.0448,0.8555,20240425_CWS@MIN,MIN,CWS,0.6013,0.3987,6,3,9,0.5421240027055008,False
746320,2024-04-25,oof,4.898,3.8098,0.223,0.3494,0.6599,0.5634,0.5634,0.471,0.471,0.3806,0.3806,0.3039,0.3039,0.2345,0.2345,0.1843,0.1843,0.0,0.0965,0.0,0.0924,0.0,0.0904,0.0,0.0767,0.0,0.0694,0.0,0.0502,0.0,0.3401,0.3401,0.4366,0.4366,0.529,0.529,0.6194,0.6194,0.6961,0.6961,0.7655,0.7655,0.8157,0.62994,0.454,0.3541,0.2687,0.454,0.17594,0.37006,0.454,0.0,0.546,0.3541,0.0999,0.546,0.3541,0.0,0.6459,0.2687,0.0854,0.6459,0.2687,0.0,0.7313,0.2026,0.0661,0.7313,0.2628,0.0822,0.655,0.2628,0.0,0.7372,0.19,0.0728,0.7372,0.19,0.0,0.81,0.1332,0.0568,0.81,0.1332,0.0,0.8668,0.0927,0.0405,0.8668,20240425_TOR@KC,KC,TOR,0.62994,0.37006,2,1,3,0.5075262501168641,True
746564,2024-04-25,oof,3.7828,4.3849,0.3358,0.322,0.5934,0.4997,0.4997,0.4082,0.4082,0.328,0.328,0.2581,0.2581,0.1965,0.1965,0.1516,0.1516,0.0,0.0937,0.0,0.0915,0.0,0.0802,0.0,0.0699,0.0,0.0616,0.0,0.0449,0.0,0.4066,0.4066,0.5003,0.5003,0.5918,0.5918,0.672,0.672,0.7419,0.7419,0.8035,0.8035,0.8484,0.47235,0.3033,0.221,0.1557,0.3033,0.16905,0.52765,0.3033,0.0,0.6967,0.221,0.0823,0.6967,0.221,0.0,0.779,0.1557,0.0653,0.779,0.1557,0.0,0.8443,0.1078,0.0479,0.8443,0.3995,0.1027,0.4978,0.3995,0.0,0.6005,0.3038,0.0957,0.6005,0.3038,0.0,0.6962,0.2249,0.0789,0.6962,0.2249,0.0,0.7751,0.1662,0.0587,0.7751,20240425_SD@COL,COL,SD,0.47235,0.52765,10,9,19,0.4771494469741356,False
746646,2024-04-25,oof,4.2499,4.6609,0.2885,0.3089,0.6629,0.5684,0.5684,0.478,0.478,0.3895,0.3895,0.3194,0.3194,0.2574,0.2574,0.2003,0.2003,0.0,0.0945,0.0,0.0904,0.0,0.0885,0.0,0.0701,0.0,0.062,0.0,0.0571,0.0,0.3371,0.3371,0.4316,0.4316,0.522,0.522,0.6105,0.6105,0.6806,0.6806,0.7426,0.7426,0.7997,0.49661,0.3291,0.2465,0.1789,0.3291,0.16751,0.50339,0.3291,0.0,0.6709,0.2465,0.0826,0.6709,0.2465,0.0,0.7535,0.1789,0.0676,0.7535,0.1789,0.0,0.8211,0.1256,0.0533,0.8211,0.3819,0.0952,0.5229,0.3819,0.0,0.6181,0.2976,0.0843,0.6181,0.2976,0.0,0.7024,0.2275,0.0701,0.7024,0.2275,0.0,0.7725,0.17,0.0575,0.7725,20240425_BOS@CLE,CLE,BOS,0.49661,0.50339,6,4,10,0.5083688080324046,False
746724,2024-04-25,oof,3.9501,4.33,0.3189,0.3246,0.6157,0.5175,0.5175,0.4268,0.4268,0.3397,0.3397,0.2688,0.2688,0.2119,0.2119,0.1605,0.1605,0.0,0.0982,0.0,0.0907,0.0,0.0871,0.0,0.0709,0.0,0.0569,0.0,0.0514,0.0,0.3843,0.3843,0.4825,0.4825,0.5732,0.5732,0.6603,0.6603,0.7312,0.7312,0.7881,0.7881,0.8395,0.48765,0.3143,0.2329,0.1708,0.3143,0.17335,0.51235,0.3143,0.0,0.6857,0.2329,0.0814,0.6857,0.2329,0.0,0.7671,0.1708,0.0621,0.7671,0.1708,0.0,0.8292,0.1196,0.0512,0.8292,0.3829,0.1028,0.5143,0.3829,0.0,0.6171,0.2939,0.089,0.6171,0.2939,0.0,0.7061,0.217,0.0769,0.7061,0.217,0.0,0.783,0.1551,0.0619,0.783,20240425_PHI@CIN,CIN,PHI,0.48765,0.51235,0,5,5,0.478831454796384,False
746887,2024-04-25,oof,5.0935,4.0528,0.2032,0.3378,0.701,0.6049,0.6049,0.5097,0.5097,0.4173,0.4173,0.3313,0.3313,0.26,0.26,0.2007,0.2007,0.0,0.0961,0.0,0.0952,0.0,0.0924,0.0,0.086,0.0,0.0713,0.0,0.0593,0.0,0.299,0.299,0.3951,0.3951,0.4903,0.4903,0.5827,0.5827,0.6687,0.6687,0.74,0.74,0.7993,0.63345,0.4543,0.3589,0.2736,0.4543,0.17915,0.36655,0.4543,0.0,0.5457,0.3589,0.0954,0.5457,0.3589,0.0,0.6411,0.2736,0.0853,0.6411,0.2736,0.0,0.7264,0.2015,0.0721,0.7264,0.2614,0.0795,0.6591,0.2614,0.0,0.7386,0.1945,0.0669,0.7386,0.1945,0.0,0.8055,0.141,0.0535,0.8055,0.141,0.0,0.859,0.1002,0.0408,0.859,20240425_HOU@CHC,CHC,HOU,0.63345,0.36655,3,1,4,0.5324637491728316,True
