rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,LAD,LAD,1572.2,297,197,297-197,0.601,0,6-4,0.637,0.566
2,MIL,MIL,1553.0,279,195,279-195,0.589,0,6-4,0.62,0.556
3,NYY,NYY,1550.3,277,206,277-206,0.573,0,5-5,0.57,0.577
4,PHI,PHI,1547.9,271,199,271-199,0.577,0,8-2,0.632,0.521
5,SD,SD,1532.1,261,211,261-211,0.553,0,5-5,0.6,0.506
6,CHC,CHC,1531.3,257,213,257-213,0.547,0,4-6,0.585,0.509
7,CLE,CLE,1524.2,254,219,254-219,0.537,0,8-2,0.55,0.523
8,BOS,BOS,1518.2,246,219,246-219,0.529,0,6-4,0.528,0.53
9,ATL,ATL,1517.9,247,217,247-217,0.532,0,7-3,0.568,0.496
10,HOU,HOU,1517.2,245,218,245-218,0.529,0,6-4,0.541,0.517
11,AZ,AZ,1516.4,242,221,242-221,0.523,0,5-5,0.547,0.498
12,SEA,SEA,1514.2,245,229,245-229,0.517,0,4-6,0.593,0.441
13,TOR,TOR,1512.2,246,234,246-234,0.512,0,6-4,0.553,0.47
14,TB,TB,1510.8,239,222,239-222,0.518,0,6-4,0.556,0.48
15,DET,DET,1509.6,244,232,244-232,0.513,0,2-8,0.532,0.494
16,BAL,BAL,1506.0,235,229,235-229,0.506,0,8-2,0.504,0.509
17,NYM,NYM,1504.5,241,234,241-234,0.507,0,4-6,0.546,0.468
18,STL,STL,1498.1,229,233,229-233,0.496,0,3-7,0.521,0.469
19,KC,KC,1496.0,233,235,233-235,0.498,0,8-2,0.539,0.458
20,CIN,CIN,1493.7,225,239,225-239,0.485,0,4-6,0.502,0.468
21,TEX,TEX,1493.6,227,235,227-235,0.491,0,5-5,0.566,0.419
22,SF,SF,1482.9,218,244,218-244,0.472,0,5-5,0.506,0.437
23,PIT,PIT,1482.5,214,248,214-248,0.463,0,5-5,0.513,0.415
24,MIN,MIN,1479.1,218,244,218-244,0.472,0,3-7,0.509,0.435
25,MIA,MIA,1471.8,210,252,210-252,0.455,0,5-5,0.476,0.433
26,ATH,ATH,1465.2,198,264,198-264,0.429,0,4-6,0.429,0.429
27,WSH,WSH,1463.9,203,261,203-261,0.438,0,5-5,0.438,0.437
28,LAA,LAA,1441.1,188,274,188-274,0.407,0,2-8,0.432,0.382
29,CWS,CWS,1411.2,173,288,173-288,0.375,0,6-4,0.422,0.329
30,COL,COL,1403.5,156,306,156-306,0.338,0,2-8,0.39,0.286
