feature,current_mean,baseline_mean,psi,psi_adjusted,noise_floor,mean_shift,shift_se,location_shift,status,weight_pct,n_baseline,n_current
is_home,1.0,1.0,0.0,0.0,0.063158,0.0,0.0,False,OK,,285,95
win_pct_diff,-0.0071,0.0053,0.320219,0.257061,0.063158,-0.012368,0.012856,False,OK,,285,95
elo_diff,-18.6285,10.5899,0.192414,0.129256,0.063158,-29.218403,14.423052,True,WARN,,285,95
rest_days_diff,0.0,0.0,0.015129,0.0,0.063158,0.0,0.053296,False,OK,,285,95
sp_era_diff,0.2958,0.0284,0.105706,0.041588,0.064118,0.267487,0.392978,False,OK,,277,94
sp_era_5g_diff,0.2741,-0.1651,0.094276,0.030332,0.063944,0.439163,0.513171,False,OK,,280,94
sp_k9_diff,0.0452,-0.0883,0.107579,0.043461,0.064118,0.133459,0.452532,False,OK,,277,94
sp_k9_5g_diff,0.0174,-0.1297,0.248084,0.18414,0.063944,0.147045,0.618382,False,OK,,280,94
sp_fbvelo_diff,-0.6713,0.0492,0.117633,0.053632,0.064001,-0.720529,0.520489,False,OK,,279,94
sp_fbpct_diff,-0.0098,-0.01,0.118079,0.054135,0.063944,0.000274,0.025569,False,OK,,280,94
sp_whiff_diff,0.0037,-0.0002,0.073011,0.009067,0.063944,0.003923,0.007734,False,OK,,280,94
sp_xwoba_diff,-0.0015,0.0013,0.076608,0.012664,0.063944,-0.002781,0.011756,False,OK,,280,94
sp_xwoba_vs_l_diff,-0.0102,0.0017,0.081741,0.017623,0.064118,-0.0119,0.012995,False,OK,,277,94
lineup_woba_mean_diff,-0.0045,0.0002,0.166341,0.103183,0.063158,-0.004629,0.002754,False,OK,,285,95
lineup_woba_top3_diff,-0.0045,0.0014,0.151568,0.08841,0.063158,-0.005904,0.004231,False,OK,,285,95
lineup_woba_std_diff,-0.0011,-0.0007,0.214399,0.151241,0.063158,-0.000365,0.001798,False,OK,,285,95
woba_30g_diff,-0.005,0.0009,0.196649,0.133491,0.063158,-0.005879,0.004741,False,OK,,285,95
bullpen_whip_diff,0.0431,0.0143,0.039897,0.0,0.063887,0.028866,0.065168,False,OK,,281,94
bullpen_whip_3g_diff,0.15,-0.0587,0.367304,0.303417,0.063887,0.208686,0.121462,False,OK,,281,94
bullpen_pitches_diff,24.4316,10.4491,0.121324,0.058166,0.063158,13.982456,12.064114,False,OK,,285,95
team_barrel_diff,0.0016,0.0006,0.071826,0.008668,0.063158,0.001022,0.002142,False,OK,,285,95
team_hardhit_diff,-0.0046,0.0026,0.157894,0.094736,0.063158,-0.007247,0.009291,False,OK,,285,95
team_exitvelo_diff,0.0189,0.0439,0.140697,0.077539,0.063158,-0.025001,0.326609,False,OK,,285,95
travel_fatigue_diff,-0.1368,-0.1333,0.007954,0.0,0.063158,-0.003509,0.10974,False,OK,,285,95
closer_availability_diff,0.0,-0.0246,0.013448,0.0,0.063158,0.024561,0.052369,False,OK,,285,95
dome_is_neutral,0.2842,0.3123,0.0,0.0,0.063158,-0.02807,0.082024,False,OK,,285,95
park_factor_slug_diff,-0.0,0.0,0.068564,0.005406,0.063158,-5.1e-05,0.000116,False,OK,,285,95
wind_advantage_flyball_factor,0.0511,0.0117,0.102573,0.038455,0.064118,0.039437,0.065528,False,OK,,277,94
air_density_velocity_boost,0.0617,0.0051,0.140748,0.076747,0.064001,0.056582,0.046966,False,OK,,279,94
home_elo,1491.0422,1505.2361,0.156503,0.093345,0.063158,-14.193823,10.12464,False,OK,,285,95
away_elo,1509.6707,1494.6462,0.1264,0.063242,0.063158,15.02458,10.002893,False,OK,,285,95
home_win_pct,0.4963,0.5032,0.478856,0.415698,0.063158,-0.006888,0.011258,False,OK,,285,95
away_win_pct,0.5049,0.4965,0.140084,0.076926,0.063158,0.008414,0.010985,False,OK,,285,95
