rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,LAD,LAD,1571.1,307,201,307-201,0.604,0,8-2,0.642,0.567
2,MIL,MIL,1553.6,288,199,288-199,0.591,0,7-3,0.625,0.556
3,NYY,NYY,1550.6,287,209,287-209,0.579,0,8-2,0.577,0.581
4,PHI,PHI,1548.9,276,207,276-207,0.571,0,4-6,0.627,0.517
5,SD,SD,1532.2,270,215,270-215,0.557,0,8-2,0.606,0.508
6,CHC,CHC,1531.0,263,221,263-221,0.543,0,4-6,0.582,0.504
7,CLE,CLE,1523.3,262,226,262-226,0.537,0,5-5,0.551,0.523
8,BOS,BOS,1519.8,253,225,253-225,0.529,0,6-4,0.523,0.535
9,ATL,ATL,1518.6,254,224,254-224,0.531,0,5-5,0.567,0.496
10,HOU,HOU,1517.2,251,225,251-225,0.527,0,4-6,0.542,0.513
11,AZ,AZ,1516.9,249,227,249-227,0.523,0,6-4,0.544,0.502
12,SEA,SEA,1512.9,251,237,251-237,0.514,0,4-6,0.588,0.441
13,TOR,TOR,1512.7,253,241,253-241,0.512,0,4-6,0.55,0.473
14,TB,TB,1512.4,248,226,248-226,0.523,0,8-2,0.563,0.483
15,DET,DET,1508.1,253,237,253-237,0.516,0,8-2,0.539,0.494
16,BAL,BAL,1505.7,240,238,240-238,0.502,0,5-5,0.498,0.506
17,NYM,NYM,1504.8,248,240,248-240,0.508,0,5-5,0.543,0.473
18,STL,STL,1497.7,236,240,236-240,0.496,0,4-6,0.523,0.468
19,KC,KC,1496.1,237,244,237-244,0.493,0,3-7,0.531,0.455
20,CIN,CIN,1493.3,230,247,230-247,0.482,0,3-7,0.504,0.46
21,TEX,TEX,1493.0,234,241,234-241,0.493,0,5-5,0.566,0.421
22,PIT,PIT,1483.4,222,253,222-253,0.467,0,6-4,0.515,0.421
23,SF,SF,1482.0,224,252,224-252,0.471,0,5-5,0.506,0.435
24,MIN,MIN,1478.3,222,253,222-253,0.467,0,3-7,0.502,0.432
25,MIA,MIA,1471.9,216,260,216-260,0.454,0,4-6,0.471,0.436
26,ATH,ATH,1464.0,206,269,206-269,0.434,0,6-4,0.435,0.433
27,WSH,WSH,1463.2,208,268,208-268,0.437,0,4-6,0.448,0.426
28,LAA,LAA,1440.3,193,282,193-282,0.406,0,5-5,0.433,0.38
29,CWS,CWS,1414.1,178,297,178-297,0.375,0,3-7,0.419,0.331
30,COL,COL,1402.9,160,315,160-315,0.337,0,2-8,0.396,0.279
