game_pk,game_date,home_expected_runs,away_expected_runs,home_score,away_score
744867,2024-04-25,4.3124,4.6977,1,2
745027,2024-04-25,3.9472,4.3539,3,4
745512,2024-04-25,3.6472,4.3098,5,7
745755,2024-04-25,4.8014,4.3243,1,3
745918,2024-04-25,4.6773,4.2004,6,3
746320,2024-04-25,4.3612,4.0574,2,1
746564,2024-04-25,3.7136,4.028,10,9
746646,2024-04-25,4.0882,4.4786,6,4
746724,2024-04-25,3.7453,4.4503,0,5
746887,2024-04-25,4.8301,3.9329,3,1
744949,2024-04-26,4.3849,5.0296,2,12
745025,2024-04-26,3.9569,4.5197,2,1
745269,2024-04-26,4.2389,4.4414,6,1
745347,2024-04-26,4.1221,4.4652,3,0
745424,2024-04-26,4.6498,4.2771,3,9
745835,2024-04-26,4.0918,4.5697,2,4
746000,2024-04-26,4.4066,4.5405,7,6
746078,2024-04-26,3.5171,4.9201,1,3
746243,2024-04-26,4.2398,4.3026,3,5
746482,2024-04-26,4.1302,4.8131,0,8
746808,2024-04-26,3.6212,4.087,9,4
746972,2024-04-26,4.4816,4.467,1,7
747050,2024-04-26,4.8637,4.0439,2,3
747129,2024-04-26,4.6615,4.4797,6,2
744946,2024-04-27,4.3577,4.3094,2,4
745020,2024-04-27,4.0683,4.8242,4,8
745266,2024-04-27,4.3412,4.1406,3,1
745350,2024-04-27,3.6612,3.9877,3,4
745425,2024-04-27,4.3761,4.2395,1,5
745833,2024-04-27,4.3212,4.7329,4,7
745998,2024-04-27,4.378,4.78,3,15
746075,2024-04-27,3.7261,4.3484,4,11
746245,2024-04-27,3.9117,4.0153,5,16
746484,2024-04-27,4.2273,4.1224,6,5
746560,2024-04-27,4.5467,4.1465,4,12
746803,2024-04-27,3.7035,4.1014,8,7
746971,2024-04-27,4.5204,4.7577,17,0
747052,2024-04-27,4.8773,4.1865,7,0
747131,2024-04-27,4.3654,4.5397,2,4
744947,2024-04-28,3.7254,4.3772,3,1
745022,2024-04-28,4.1139,4.5446,4,3
745265,2024-04-28,4.2016,4.0312,2,3
745349,2024-04-28,3.5734,3.9734,3,2
745428,2024-04-28,3.9789,4.6444,6,8
745834,2024-04-28,3.9597,4.6196,4,2
746001,2024-04-28,4.3122,4.2247,5,15
746077,2024-04-28,3.9406,4.3783,9,12
746237,2024-04-28,3.8083,3.9537,5,11
746483,2024-04-28,3.8835,4.4866,4,1
746561,2024-04-28,4.0361,3.9289,2,8
746805,2024-04-28,3.7262,4.3931,4,2
746967,2024-04-28,4.0596,4.4719,5,4
747045,2024-04-28,4.9949,3.9648,6,7
747125,2024-04-28,4.322,4.5433,4,3
744945,2024-04-29,3.6245,4.8251,6,5
745263,2024-04-29,4.0423,4.6575,2,1
745427,2024-04-29,3.7451,4.0182,2,5
745672,2024-04-29,3.992,4.2949,5,1
745832,2024-04-29,4.4258,5.121,1,3
745999,2024-04-29,4.1821,4.2237,0,1
746074,2024-04-29,3.4322,3.5292,2,7
746236,2024-04-29,4.3168,4.4432,6,5
746804,2024-04-29,3.5665,4.3172,2,3
747046,2024-04-29,4.797,4.5637,2,0
747211,2024-04-29,4.2223,5.0544,4,8
744942,2024-04-30,4.1069,4.4292,1,4
745018,2024-04-30,4.1087,4.8567,7,1
745260,2024-04-30,4.3056,4.815,3,2
745426,2024-04-30,4.013,4.0693,6,4
745673,2024-04-30,3.8188,4.4661,5,2
745831,2024-04-30,4.4158,5.1052,4,2
745997,2024-04-30,4.4104,4.3518,8,2
746073,2024-04-30,4.0627,3.639,7,6
746239,2024-04-30,4.1684,4.1404,5,7
746398,2024-04-30,4.3964,4.5516,10,9
746477,2024-04-30,4.2703,4.1795,1,2
746481,2024-04-30,4.1167,4.4738,11,6
746806,2024-04-30,3.4713,4.3859,5,6
746968,2024-04-30,4.2719,4.5711,4,0
747047,2024-04-30,4.557,4.3736,4,2
747210,2024-04-30,4.2254,4.7055,4,3
744939,2024-05-01,3.9882,4.5136,1,6
745023,2024-05-01,4.2777,5.1665,0,1
745261,2024-05-01,3.9897,4.5622,2,5
745423,2024-05-01,3.835,3.8387,6,2
745670,2024-05-01,3.9054,4.2535,4,0
745829,2024-05-01,4.0393,4.7701,0,1
745996,2024-05-01,4.5446,4.1826,7,1
746072,2024-05-01,3.9359,3.7328,4,1
746238,2024-05-01,4.0183,4.7452,1,2
746399,2024-05-01,4.5747,4.313,2,3
746478,2024-05-01,3.8996,4.0566,4,1
746800,2024-05-01,3.6992,4.3983,5,10
746966,2024-05-01,3.7319,4.6657,6,2
747048,2024-05-01,4.4855,4.4908,0,2
747207,2024-05-01,3.9947,4.9093,0,8
745021,2024-05-02,3.9534,4.3621,6,0
745830,2024-05-02,4.0929,4.5249,7,6
746070,2024-05-02,4.1514,3.9425,5,4
746403,2024-05-02,5.0368,4.6522,8,2
746969,2024-05-02,4.6377,3.8743,1,3
747044,2024-05-02,4.0331,4.3708,7,2
744868,2024-05-03,4.0797,4.2724,9,3
745101,2024-05-03,4.4534,4.7662,10,8
745187,2024-05-03,4.6248,3.8684,3,0
745510,2024-05-03,4.265,3.8955,2,3
745589,2024-05-03,4.2703,3.7446,4,3
745665,2024-05-03,4.4837,4.225,3,1
745756,2024-05-03,3.8161,3.9902,2,1
745914,2024-05-03,4.2564,5.0539,5,2
746152,2024-05-03,4.4174,4.0254,4,3
746318,2024-05-03,4.3076,4.8245,7,1
746402,2024-05-03,4.1084,4.9014,5,3
746645,2024-05-03,3.6247,4.0439,0,6
746721,2024-05-03,4.4736,4.1936,0,3
746890,2024-05-03,3.8379,4.554,1,3
747208,2024-05-03,3.7546,4.074,1,7
744862,2024-05-04,4.1773,3.8339,3,6
745100,2024-05-04,3.6572,4.8535,3,1
745183,2024-05-04,4.2142,3.7543,5,6
745511,2024-05-04,4.5258,4.0091,1,0
745583,2024-05-04,4.6543,3.5854,14,3
745666,2024-05-04,4.5288,3.9467,20,4
745750,2024-05-04,3.8624,4.0771,5,3
745911,2024-05-04,4.0861,4.5001,3,1
746155,2024-05-04,4.415,3.9201,11,2
746311,2024-05-04,4.7443,4.6965,4,15
746394,2024-05-04,4.0412,4.3806,0,5
746644,2024-05-04,4.0404,4.2965,7,1
746720,2024-05-04,3.7293,5.0328,1,2
746884,2024-05-04,3.5883,4.4498,6,5
747209,2024-05-04,3.6969,4.2456,1,13
744861,2024-05-05,3.4442,5.0547,11,8
745103,2024-05-05,4.1996,4.3487,7,6
745185,2024-05-05,4.3761,3.403,1,5
745504,2024-05-05,4.1558,3.8962,5,3
745587,2024-05-05,4.5128,3.5035,5,4
745667,2024-05-05,4.3182,3.641,3,12
745751,2024-05-05,3.9261,4.14,5,2
745913,2024-05-05,4.1692,4.5034,2,9
746153,2024-05-05,4.2547,3.9238,5,1
746314,2024-05-05,3.6928,4.4712,2,3
746395,2024-05-05,3.9191,4.5384,4,5
746643,2024-05-05,4.1612,4.0491,4,1
746719,2024-05-05,4.0459,5.2271,1,11
746883,2024-05-05,3.689,4.8004,5,0
747206,2024-05-05,4.0494,5.372,11,4
745098,2024-05-06,4.5215,4.2745,8,2
745182,2024-05-06,3.8578,4.0798,3,4
745509,2024-05-06,4.084,3.8416,4,1
745585,2024-05-06,4.0946,4.5732,6,1
745669,2024-05-06,3.8281,4.0778,2,4
745912,2024-05-06,3.9551,4.7621,3,1
746149,2024-05-06,4.3068,3.9203,6,3
746313,2024-05-06,4.2146,4.6623,3,2
746639,2024-05-06,3.7294,4.6403,2,1
746886,2024-05-06,4.1344,4.885,3,6
744859,2024-05-07,4.2039,4.9013,3,0
745095,2024-05-07,5.0587,3.738,5,1
745186,2024-05-07,4.0345,3.9493,5,7
745508,2024-05-07,3.9709,4.2393,0,9
745586,2024-05-07,4.3553,3.6544,10,1
745668,2024-05-07,4.6296,4.3245,8,15
745752,2024-05-07,4.684,4.1286,10,3
745915,2024-05-07,3.9447,4.6462,6,10
746147,2024-05-07,4.1977,3.5926,8,2
746315,2024-05-07,4.2741,4.2998,5,6
746559,2024-05-07,4.0136,4.3986,0,5
746638,2024-05-07,3.8835,3.9731,7,11
746718,2024-05-07,3.8393,4.2983,2,6
746885,2024-05-07,4.074,4.2562,3,2
747126,2024-05-07,3.8344,4.0717,4,2
744858,2024-05-08,3.4868,3.9988,6,7
745097,2024-05-08,4.7522,3.6852,1,4
745507,2024-05-08,3.9578,4.5799,4,5
745584,2024-05-08,4.2916,3.4643,3,5
745659,2024-05-08,4.06,4.1601,11,12
745664,2024-05-08,4.4168,3.9691,9,4
745749,2024-05-08,4.2561,3.8373,9,4
745906,2024-05-08,3.5488,4.2173,6,3
746151,2024-05-08,4.6444,3.898,3,1
746312,2024-05-08,3.6295,4.3036,6,4
746562,2024-05-08,4.1384,4.6023,6,8
746640,2024-05-08,4.1451,4.5288,5,4
746717,2024-05-08,4.1276,4.7206,3,4
