feature,current_mean,baseline_mean,psi,psi_adjusted,noise_floor,mean_shift,shift_se,location_shift,status,weight_pct,n_baseline,n_current
is_home,1.0,1.0,0.0,0.0,0.0805,0.0,0.0,False,OK,0.0,250,72
win_pct_diff,-0.0094,0.0013,0.509975,0.429475,0.0805,-0.010679,0.014927,False,OK,1.589,250,72
elo_diff,-7.7467,-2.0441,0.175337,0.094837,0.0805,-5.702527,16.405412,False,OK,2.323,250,72
rest_days_diff,-0.0556,0.008,0.046594,0.0,0.0805,-0.063556,0.059092,False,OK,0.0,250,72
sp_era_diff,0.1122,0.0351,0.217165,0.135566,0.081599,0.077128,0.416867,False,OK,2.135,247,71
sp_era_5g_diff,0.3588,0.0447,0.136382,0.05581,0.080572,0.3141,0.61161,False,OK,2.208,249,72
sp_fbvelo_diff,0.0613,-0.3064,0.073763,0.0,0.080572,0.367729,0.577068,False,OK,2.043,249,72
lineup_woba_mean_diff,-0.0006,0.0002,0.348012,0.267512,0.0805,-0.000794,0.002716,False,OK,1.598,250,72
lineup_woba_top3_diff,0.0024,0.0022,0.21446,0.13396,0.0805,0.000257,0.004777,False,OK,1.746,250,72
lineup_woba_std_diff,-0.0011,-0.0005,0.186754,0.106254,0.0805,-0.000546,0.002165,False,OK,1.747,250,72
woba_30g_diff,-0.0043,-0.0003,0.32201,0.24151,0.0805,-0.004028,0.004712,False,OK,1.825,250,72
bullpen_whip_diff,-0.0628,-0.0106,0.250475,0.16983,0.080645,-0.052245,0.069415,False,OK,1.832,248,72
bullpen_whip_3g_diff,-0.1485,-0.0449,0.373468,0.292823,0.080645,-0.103593,0.128721,False,OK,1.827,248,72
bullpen_pitches_diff,23.1667,-5.52,0.365667,0.285167,0.0805,28.686667,13.954977,True,ALERT,2.09,250,72
team_barrel_diff,-0.0018,-0.0011,0.169764,0.089264,0.0805,-0.000739,0.002295,False,OK,1.645,250,72
team_hardhit_diff,0.0016,-0.0029,0.416803,0.336303,0.0805,0.004541,0.009761,False,OK,1.844,250,72
team_exitvelo_diff,-0.0543,-0.0164,0.282119,0.201619,0.0805,-0.037922,0.327141,False,OK,1.754,250,72
lineup_handedness_matchup_advantage,-0.011,0.0094,0.165935,0.085435,0.0805,-0.020337,0.019386,False,OK,1.86,250,72
travel_fatigue_diff,-0.2361,-0.124,0.00516,0.0,0.0805,-0.112111,0.129894,False,OK,1.195,250,72
closer_availability_diff,0.0417,-0.016,0.047112,0.0,0.0805,0.057667,0.062253,False,OK,0.0,250,72
dome_is_neutral,0.2361,0.312,0.0,0.0,0.0805,-0.075889,0.091561,False,OK,0.0,250,72
park_factor_slug_diff,0.0002,-0.0001,0.104323,0.023823,0.0805,0.000256,0.000189,False,OK,1.318,250,72
wind_advantage_flyball_factor,-0.0122,0.0102,0.121231,0.039632,0.081599,-0.022435,0.073696,False,OK,1.682,247,71
air_density_velocity_boost,0.0176,0.0473,0.098493,0.017921,0.080572,-0.029688,0.049356,False,OK,1.957,249,72
bullpen_meltdown_risk,1.871,6.0602,0.13398,0.053335,0.080645,-4.189217,4.834724,False,OK,1.623,248,72
pitcher_regression_indicator,0.408,-1.2251,0.235789,0.155217,0.080572,1.633104,2.104438,False,OK,1.84,249,72
lineup_depth_multiplier,0.0001,0.0002,0.244733,0.164233,0.0805,-7e-05,7.8e-05,False,OK,1.763,250,72
ace_efficiency_factor,0.0855,0.0772,0.103174,0.022602,0.080572,0.008378,0.034939,False,OK,1.855,249,72
home_elo,1495.9389,1499.6067,0.34204,0.26154,0.0805,-3.667808,11.369523,False,OK,1.633,250,72
away_elo,1503.6855,1501.6508,0.259379,0.178879,0.0805,2.03472,11.806092,False,OK,1.754,250,72
home_win_pct,0.4939,0.5015,0.215182,0.134682,0.0805,-0.007512,0.012678,False,OK,1.895,250,72
away_win_pct,0.5053,0.4999,0.395966,0.315466,0.0805,0.005368,0.012764,False,OK,2.599,250,72
sp_era_home,4.0944,4.0684,0.261785,0.180332,0.081453,0.025935,0.340642,False,OK,1.905,249,71
sp_era_away,3.9822,4.0371,0.052911,0.0,0.081525,-0.054955,0.231396,False,OK,1.646,248,71
sp_k9_home,8.9017,8.6887,0.180278,0.098825,0.081453,0.21292,0.365113,False,OK,1.648,249,71
sp_k9_away,8.6568,8.6527,0.121586,0.040061,0.081525,0.004081,0.361361,False,OK,1.909,248,71
sp_xwoba_home,0.3056,0.3105,0.170766,0.090194,0.080572,-0.004871,0.008733,False,OK,1.914,249,72
sp_xwoba_away,0.3171,0.3122,0.123592,0.043092,0.0805,0.004852,0.008498,False,OK,1.853,250,72
lineup_woba_mean_home,0.3446,0.3445,0.05397,0.0,0.0805,0.000135,0.001973,False,OK,1.745,250,72
lineup_woba_mean_away,0.3452,0.3443,0.262477,0.181977,0.0805,0.000929,0.002077,False,OK,1.649,250,72
lineup_woba_top3_home,0.3598,0.3578,0.186465,0.105965,0.0805,0.002078,0.003385,False,OK,1.784,250,72
lineup_woba_top3_away,0.3574,0.3556,0.094234,0.013734,0.0805,0.001821,0.003381,False,OK,1.802,250,72
woba_30g_home,0.3015,0.3012,0.418079,0.337579,0.0805,0.000251,0.003086,False,OK,1.805,250,72
woba_30g_away,0.3058,0.3015,0.185679,0.105179,0.0805,0.004279,0.003163,False,OK,1.736,250,72
bullpen_whip_10g_home,1.329,1.3395,0.141855,0.061283,0.080572,-0.010441,0.048575,False,OK,1.899,249,72
bullpen_whip_10g_away,1.3919,1.3502,0.607958,0.527386,0.080572,0.041612,0.043924,False,OK,1.395,249,72
bullpen_whip_3g_home,1.2436,1.3564,0.182608,0.102036,0.080572,-0.112776,0.080994,False,OK,2.078,249,72
bullpen_whip_3g_away,1.3921,1.3998,0.094567,0.013995,0.080572,-0.007706,0.092238,False,OK,1.552,249,72
team_barrel_15g_home,0.0231,0.0234,0.378131,0.297631,0.0805,-0.000375,0.001609,False,OK,1.696,250,72
team_barrel_15g_away,0.0249,0.0245,0.192762,0.112262,0.0805,0.000364,0.001535,False,OK,1.562,250,72
team_exitvelo_15g_home,87.7689,87.7043,0.174159,0.093659,0.0805,0.064562,0.220981,False,OK,1.702,250,72
team_exitvelo_15g_away,87.8232,87.7207,0.130196,0.049696,0.0805,0.102484,0.217686,False,OK,1.497,250,72
exp2_centered_k_diff,0.0951,-0.0313,0.300838,0.219239,0.081599,0.126436,0.073743,False,OK,1.913,247,71
exp2_cat_k_fastball_diff,0.0,-0.0,0.360175,0.278576,0.081599,3.2e-05,0.000145,False,OK,1.833,247,71
exp2_cat_k_breaking_diff,-0.0001,0.0,0.098766,0.007906,0.09086,-0.000176,0.000171,False,OK,1.802,219,64
exp2_cat_k_offspeed_diff,0.0,0.0,0.226456,0.094532,0.131924,1.6e-05,0.00014,False,OK,1.599,165,43
exp2_cat_xwoba_fastball_diff,0.0001,-0.0,0.161236,0.079637,0.081599,0.000102,6.7e-05,False,OK,1.609,247,71
