feature,window,n_games,n_nonnull,pct_nonnull,n_measured,pct_measured,n_default_zero,status
is_home,current,88,88,100.0,88,100.0,0,OK
win_pct_diff,current,88,88,100.0,88,100.0,0,OK
elo_diff,current,88,88,100.0,88,100.0,0,OK
rest_days_diff,current,88,88,100.0,88,100.0,0,OK
sp_era_diff,current,88,87,98.9,87,98.9,0,OK
sp_era_5g_diff,current,88,88,100.0,88,100.0,0,OK
sp_fbvelo_diff,current,88,88,100.0,88,100.0,0,OK
lineup_woba_mean_diff,current,88,88,100.0,88,100.0,0,OK
lineup_woba_top3_diff,current,88,88,100.0,88,100.0,0,OK
lineup_woba_std_diff,current,88,88,100.0,88,100.0,0,OK
woba_30g_diff,current,88,88,100.0,88,100.0,0,OK
bullpen_whip_diff,current,88,88,100.0,88,100.0,0,OK
bullpen_whip_3g_diff,current,88,88,100.0,88,100.0,0,OK
bullpen_pitches_diff,current,88,88,100.0,88,100.0,0,OK
team_barrel_diff,current,88,88,100.0,88,100.0,0,OK
team_hardhit_diff,current,88,88,100.0,88,100.0,0,OK
team_exitvelo_diff,current,88,88,100.0,88,100.0,0,OK
lineup_handedness_matchup_advantage,current,88,88,100.0,88,100.0,0,OK
travel_fatigue_diff,current,88,88,100.0,88,100.0,0,OK
closer_availability_diff,current,88,88,100.0,88,100.0,0,OK
dome_is_neutral,current,88,88,100.0,88,100.0,0,OK
park_factor_slug_diff,current,88,88,100.0,88,100.0,0,OK
wind_advantage_flyball_factor,current,88,87,98.9,69,78.4,18,LOW_COVERAGE
air_density_velocity_boost,current,88,88,100.0,88,100.0,0,OK
bullpen_meltdown_risk,current,88,88,100.0,88,100.0,0,OK
pitcher_regression_indicator,current,88,88,100.0,88,100.0,0,OK
lineup_depth_multiplier,current,88,88,100.0,88,100.0,0,OK
ace_efficiency_factor,current,88,88,100.0,88,100.0,0,OK
home_elo,current,88,88,100.0,88,100.0,0,OK
away_elo,current,88,88,100.0,88,100.0,0,OK
home_win_pct,current,88,88,100.0,88,100.0,0,OK
away_win_pct,current,88,88,100.0,88,100.0,0,OK
sp_era_home,current,88,87,98.9,87,98.9,0,OK
sp_era_away,current,88,87,98.9,87,98.9,0,OK
sp_k9_home,current,88,87,98.9,87,98.9,0,OK
sp_k9_away,current,88,87,98.9,87,98.9,0,OK
sp_xwoba_home,current,88,88,100.0,88,100.0,0,OK
sp_xwoba_away,current,88,88,100.0,88,100.0,0,OK
lineup_woba_mean_home,current,88,88,100.0,88,100.0,0,OK
lineup_woba_mean_away,current,88,88,100.0,88,100.0,0,OK
lineup_woba_top3_home,current,88,88,100.0,88,100.0,0,OK
lineup_woba_top3_away,current,88,88,100.0,88,100.0,0,OK
woba_30g_home,current,88,88,100.0,88,100.0,0,OK
woba_30g_away,current,88,88,100.0,88,100.0,0,OK
bullpen_whip_10g_home,current,88,88,100.0,88,100.0,0,OK
bullpen_whip_10g_away,current,88,88,100.0,88,100.0,0,OK
bullpen_whip_3g_home,current,88,88,100.0,88,100.0,0,OK
bullpen_whip_3g_away,current,88,88,100.0,88,100.0,0,OK
team_barrel_15g_home,current,88,88,100.0,88,100.0,0,OK
team_barrel_15g_away,current,88,88,100.0,88,100.0,0,OK
team_exitvelo_15g_home,current,88,88,100.0,88,100.0,0,OK
team_exitvelo_15g_away,current,88,88,100.0,88,100.0,0,OK
exp2_centered_k_diff,current,88,87,98.9,87,98.9,0,OK
exp2_cat_k_fastball_diff,current,88,87,98.9,87,98.9,0,OK
exp2_cat_k_breaking_diff,current,88,77,87.5,77,87.5,0,OK
exp2_cat_k_offspeed_diff,current,88,54,61.4,54,61.4,0,LOW_COVERAGE
exp2_cat_xwoba_fastball_diff,current,88,87,98.9,87,98.9,0,OK
exp2_cat_xwoba_breaking_diff,current,88,77,87.5,77,87.5,0,OK
exp2_cat_xwoba_offspeed_diff,current,88,54,61.4,54,61.4,0,LOW_COVERAGE
exp2_cat_platoon_k_fastball_diff,current,88,87,98.9,87,98.9,0,OK
closer_available_home,current,88,88,100.0,88,100.0,0,OK
closer_available_away,current,88,88,100.0,88,100.0,0,OK
is_home,baseline,264,264,100.0,264,100.0,0,OK
win_pct_diff,baseline,264,264,100.0,264,100.0,0,OK
elo_diff,baseline,264,264,100.0,264,100.0,0,OK
rest_days_diff,baseline,264,264,100.0,264,100.0,0,OK
sp_era_diff,baseline,264,261,98.9,261,98.9,0,OK
sp_era_5g_diff,baseline,264,263,99.6,263,99.6,0,OK
sp_fbvelo_diff,baseline,264,263,99.6,263,99.6,0,OK
lineup_woba_mean_diff,baseline,264,264,100.0,264,100.0,0,OK
lineup_woba_top3_diff,baseline,264,264,100.0,264,100.0,0,OK
lineup_woba_std_diff,baseline,264,264,100.0,264,100.0,0,OK
woba_30g_diff,baseline,264,264,100.0,264,100.0,0,OK
bullpen_whip_diff,baseline,264,262,99.2,262,99.2,0,OK
bullpen_whip_3g_diff,baseline,264,262,99.2,262,99.2,0,OK
bullpen_pitches_diff,baseline,264,264,100.0,264,100.0,0,OK
team_barrel_diff,baseline,264,264,100.0,264,100.0,0,OK
team_hardhit_diff,baseline,264,264,100.0,264,100.0,0,OK
team_exitvelo_diff,baseline,264,264,100.0,264,100.0,0,OK
