rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,LAD,LAD,1571.1,303,199,303-199,0.604,0,7-3,0.64,0.566
2,MIL,MIL,1553.1,284,198,284-198,0.589,0,5-5,0.623,0.555
3,NYY,NYY,1550.4,281,208,281-208,0.575,0,6-4,0.572,0.577
4,PHI,PHI,1548.7,274,203,274-203,0.574,0,6-4,0.628,0.521
5,SD,SD,1532.3,266,214,266-214,0.554,0,6-4,0.606,0.502
6,CHC,CHC,1531.1,260,218,260-218,0.544,0,4-6,0.582,0.506
7,CLE,CLE,1523.4,259,223,259-223,0.537,0,6-4,0.551,0.523
8,BOS,BOS,1519.4,251,222,251-222,0.531,0,6-4,0.524,0.537
9,ATL,ATL,1518.2,250,221,250-221,0.531,0,5-5,0.566,0.496
10,HOU,HOU,1517.3,249,221,249-221,0.53,0,6-4,0.54,0.519
11,AZ,AZ,1516.4,247,223,247-223,0.526,0,6-4,0.547,0.504
12,SEA,SEA,1513.1,249,233,249-233,0.517,0,4-6,0.587,0.446
13,TOR,TOR,1512.2,251,238,251-238,0.513,0,6-4,0.553,0.473
14,TB,TB,1511.0,243,225,243-225,0.519,0,6-4,0.556,0.483
15,DET,DET,1508.6,248,237,248-237,0.511,0,4-6,0.534,0.49
16,BAL,BAL,1505.8,236,236,236-236,0.5,0,3-7,0.496,0.504
17,NYM,NYM,1504.6,246,236,246-236,0.51,0,7-3,0.548,0.473
18,STL,STL,1498.2,233,238,233-238,0.495,0,4-6,0.521,0.468
19,KC,KC,1496.2,235,241,235-241,0.494,0,3-7,0.529,0.458
20,CIN,CIN,1493.5,229,242,229-242,0.486,0,5-5,0.508,0.464
21,TEX,TEX,1493.1,231,239,231-239,0.491,0,6-4,0.564,0.419
22,PIT,PIT,1483.0,219,250,219-250,0.467,0,7-3,0.517,0.417
23,SF,SF,1482.3,223,248,223-248,0.473,0,6-4,0.513,0.435
24,MIN,MIN,1479.1,221,249,221-249,0.47,0,5-5,0.509,0.432
25,MIA,MIA,1472.1,213,257,213-257,0.453,0,4-6,0.47,0.436
26,ATH,ATH,1464.5,204,267,204-267,0.433,0,6-4,0.432,0.435
27,WSH,WSH,1463.8,204,268,204-268,0.432,0,2-8,0.438,0.426
28,LAA,LAA,1440.8,190,279,190-279,0.405,0,3-7,0.428,0.382
29,CWS,CWS,1413.5,176,292,176-292,0.376,0,4-6,0.423,0.329
30,COL,COL,1403.4,159,309,159-309,0.34,0,3-7,0.395,0.285
