game_pk,game_date,kind,home_expected_runs,away_expected_runs,alpha_home,alpha_away,p_over_6_5,p_over_7_0,p_over_7_5,p_over_8_0,p_over_8_5,p_over_9_0,p_over_9_5,p_over_10_0,p_over_10_5,p_over_11_0,p_over_11_5,p_over_12_0,p_over_12_5,p_push_6_5,p_push_7_0,p_push_7_5,p_push_8_0,p_push_8_5,p_push_9_0,p_push_9_5,p_push_10_0,p_push_10_5,p_push_11_0,p_push_11_5,p_push_12_0,p_push_12_5,p_under_6_5,p_under_7_0,p_under_7_5,p_under_8_0,p_under_8_5,p_under_9_0,p_under_9_5,p_under_10_0,p_under_10_5,p_under_11_0,p_under_11_5,p_under_12_0,p_under_12_5,p_home_cover_0_5,p_home_cover_1_5,p_home_cover_2_5,p_home_cover_3_5,p_rl_1_0_home,p_rl_1_0_push,p_rl_1_0_away,p_rl_1_5_home,p_rl_1_5_push,p_rl_1_5_away,p_rl_2_0_home,p_rl_2_0_push,p_rl_2_0_away,p_rl_2_5_home,p_rl_2_5_push,p_rl_2_5_away,p_rl_3_0_home,p_rl_3_0_push,p_rl_3_0_away,p_rl_3_5_home,p_rl_3_5_push,p_rl_3_5_away,p_rl_4_0_home,p_rl_4_0_push,p_rl_4_0_away,p_home_win_derived,p_away_win_derived,home_score,away_score,total_runs,ml_win_prob,agreement_conflict
745111,2024-04-02,oof,4.4747,5.3949,0.2464,0.2851,0.7418,0.6552,0.6552,0.5614,0.5614,0.476,0.476,0.3914,0.3914,0.3236,0.3236,0.2601,0.2601,0.0,0.0866,0.0,0.0938,0.0,0.0854,0.0,0.0846,0.0,0.0678,0.0,0.0635,0.0,0.2582,0.2582,0.3448,0.3448,0.4386,0.4386,0.524,0.524,0.6086,0.6086,0.6764,0.6764,0.7399,0.45771,0.299,0.2268,0.1658,0.299,0.15871,0.54229,0.299,0.0,0.701,0.2268,0.0722,0.701,0.2268,0.0,0.7732,0.1658,0.061,0.7732,0.1658,0.0,0.8342,0.1186,0.0472,0.8342,0.45771,0.54229,5,2,7,,False
745273,2024-04-02,oof,4.4747,5.3949,0.2464,0.2851,0.7334,0.6448,0.6448,0.5571,0.5571,0.4722,0.4722,0.3916,0.3916,0.3207,0.3207,0.2593,0.2593,0.0,0.0886,0.0,0.0877,0.0,0.0849,0.0,0.0806,0.0,0.0709,0.0,0.0614,0.0,0.2666,0.2666,0.3552,0.3552,0.4429,0.4429,0.5278,0.5278,0.6084,0.6084,0.6793,0.6793,0.7407,0.45262,0.3016,0.2249,0.1624,0.3016,0.15102,0.54738,0.3016,0.0,0.6984,0.2249,0.0767,0.6984,0.2249,0.0,0.7751,0.1624,0.0625,0.7751,0.1624,0.0,0.8376,0.1157,0.0467,0.8376,0.45262,0.54738,2,5,7,,False
745439,2024-04-02,oof,4.4747,5.3949,0.2464,0.2851,0.7436,0.6518,0.6518,0.5619,0.5619,0.4747,0.4747,0.3946,0.3946,0.3248,0.3248,0.2547,0.2547,0.0,0.0918,0.0,0.0899,0.0,0.0872,0.0,0.0801,0.0,0.0698,0.0,0.0701,0.0,0.2564,0.2564,0.3482,0.3482,0.4381,0.4381,0.5253,0.5253,0.6054,0.6054,0.6752,0.6752,0.7453,0.45758,0.2996,0.2208,0.1626,0.2996,0.15798,0.54242,0.2996,0.0,0.7004,0.2208,0.0788,0.7004,0.2208,0.0,0.7792,0.1626,0.0582,0.7792,0.1626,0.0,0.8374,0.1166,0.046,0.8374,0.45758,0.54242,2,5,7,,False
745598,2024-04-02,oof,4.4747,5.3949,0.2464,0.2851,0.7361,0.6478,0.6478,0.5524,0.5524,0.4679,0.4679,0.3892,0.3892,0.3215,0.3215,0.256,0.256,0.0,0.0883,0.0,0.0954,0.0,0.0845,0.0,0.0787,0.0,0.0677,0.0,0.0655,0.0,0.2639,0.2639,0.3522,0.3522,0.4476,0.4476,0.5321,0.5321,0.6108,0.6108,0.6785,0.6785,0.744,0.45827,0.3034,0.2238,0.1588,0.3034,0.15487,0.54173,0.3034,0.0,0.6966,0.2238,0.0796,0.6966,0.2238,0.0,0.7762,0.1588,0.065,0.7762,0.1588,0.0,0.8412,0.1109,0.0479,0.8412,0.45827,0.54173,9,4,13,,False
745680,2024-04-02,oof,4.4747,5.3949,0.2464,0.2851,0.7396,0.6515,0.6515,0.5578,0.5578,0.4665,0.4665,0.3849,0.3849,0.3169,0.3169,0.2527,0.2527,0.0,0.0881,0.0,0.0937,0.0,0.0913,0.0,0.0816,0.0,0.068,0.0,0.0642,0.0,0.2604,0.2604,0.3485,0.3485,0.4422,0.4422,0.5335,0.5335,0.6151,0.6151,0.6831,0.6831,0.7473,0.45039,0.2961,0.2204,0.1627,0.2961,0.15429,0.54961,0.2961,0.0,0.7039,0.2204,0.0757,0.7039,0.2204,0.0,0.7796,0.1627,0.0577,0.7796,0.1627,0.0,0.8373,0.1155,0.0472,0.8373,0.45039,0.54961,4,5,9,,False
746009,2024-04-02,oof,4.4747,5.3949,0.2464,0.2851,0.7424,0.653,0.653,0.5714,0.5714,0.488,0.488,0.4074,0.4074,0.3349,0.3349,0.2718,0.2718,0.0,0.0894,0.0,0.0816,0.0,0.0834,0.0,0.0806,0.0,0.0725,0.0,0.0631,0.0,0.2576,0.2576,0.347,0.347,0.4286,0.4286,0.512,0.512,0.5926,0.5926,0.6651,0.6651,0.7282,0.44208,0.2839,0.2169,0.1557,0.2839,0.15818,0.55792,0.2839,0.0,0.7161,0.2169,0.067,0.7161,0.2169,0.0,0.7831,0.1557,0.0612,0.7831,0.1557,0.0,0.8443,0.1065,0.0492,0.8443,0.44208,0.55792,3,2,5,,False
746086,2024-04-02,oof,4.4747,5.3949,0.2464,0.2851,0.7409,0.6557,0.6557,0.5634,0.5634,0.471,0.471,0.3904,0.3904,0.3159,0.3159,0.2514,0.2514,0.0,0.0852,0.0,0.0923,0.0,0.0924,0.0,0.0806,0.0,0.0745,0.0,0.0645,0.0,0.2591,0.2591,0.3443,0.3443,0.4366,0.4366,0.529,0.529,0.6096,0.6096,0.6841,0.6841,0.7486,0.45159,0.2927,0.215,0.153,0.2927,0.15889,0.54841,0.2927,0.0,0.7073,0.215,0.0777,0.7073,0.215,0.0,0.785,0.153,0.062,0.785,0.153,0.0,0.847,0.1079,0.0451,0.847,0.45159,0.54841,1,3,4,,False
746169,2024-04-02,oof,4.4747,5.3949,0.2464,0.2851,0.742,0.6563,0.6563,0.5637,0.5637,0.4809,0.4809,0.3963,0.3963,0.3226,0.3226,0.2598,0.2598,0.0,0.0857,0.0,0.0926,0.0,0.0828,0.0,0.0846,0.0,0.0737,0.0,0.0628,0.0,0.258,0.258,0.3437,0.3437,0.4363,0.4363,0.5191,0.5191,0.6037,0.6037,0.6774,0.6774,0.7402,0.45853,0.3035,0.2271,0.1635,0.3035,0.15503,0.54147,0.3035,0.0,0.6965,0.2271,0.0764,0.6965,0.2271,0.0,0.7729,0.1635,0.0636,0.7729,0.1635,0.0,0.8365,0.1105,0.053,0.8365,0.45853,0.54147,5,4,9,,False
746411,2024-04-02,oof,4.4747,5.3949,0.2464,0.2851,0.7433,0.6547,0.6547,0.5688,0.5688,0.4792,0.4792,0.4033,0.4033,0.3312,0.3312,0.2683,0.2683,0.0,0.0886,0.0,0.0859,0.0,0.0896,0.0,0.0759,0.0,0.0721,0.0,0.0629,0.0,0.2567,0.2567,0.3453,0.3453,0.4312,0.4312,0.5208,0.5208,0.5967,0.5967,0.6688,0.6688,0.7317,0.4489,0.2911,0.2181,0.1574,0.2911,0.1578,0.5511,0.2911,0.0,0.7089,0.2181,0.073,0.7089,0.2181,0.0,0.7819,0.1574,0.0607,0.7819,0.1574,0.0,0.8426,0.1132,0.0442,0.8426,0.4489,0.5511,1,2,3,,False
746814,2024-04-02,oof,4.4747,5.3949,0.2464,0.2851,0.7399,0.6581,0.6581,0.5679,0.5679,0.4852,0.4852,0.4035,0.4035,0.3341,0.3341,0.2672,0.2672,0.0,0.0818,0.0,0.0902,0.0,0.0827,0.0,0.0817,0.0,0.0694,0.0,0.0669,0.0,0.2601,0.2601,0.3419,0.3419,0.4321,0.4321,0.5148,0.5148,0.5965,0.5965,0.6659,0.6659,0.7328,0.45733,0.2957,0.2218,0.1623,0.2957,0.16163,0.54267,0.2957,0.0,0.7043,0.2218,0.0739,0.7043,0.2218,0.0,0.7782,0.1623,0.0595,0.7782,0.1623,0.0,0.8377,0.1147,0.0476,0.8377,0.45733,0.54267,3,2,5,,False
