feature,current_mean,baseline_mean,psi,psi_adjusted,noise_floor,mean_shift,shift_se,location_shift,status,n_baseline,n_current
home_elo,1506.2942,1501.7328,0.08863,0.028024,0.060606,4.561412,9.460246,False,OK,297,99
home_win_pct,0.5046,0.5001,0.169833,0.109227,0.060606,0.004488,0.010844,False,OK,297,99
away_win_pct,0.4967,0.4988,0.296298,0.235692,0.060606,-0.002148,0.010439,False,OK,297,99
sp_era_home,3.9747,4.2385,0.097312,0.02718,0.070132,-0.263796,0.381486,False,OK,295,82
sp_era_away,3.7441,4.4007,0.108531,0.03906,0.069471,-0.656615,0.383044,False,OK,295,83
sp_k9_home,8.6315,8.7347,0.095801,0.025669,0.070132,-0.103242,0.450066,False,OK,295,82
sp_k9_away,8.4014,8.771,0.100994,0.031523,0.069471,-0.369646,0.428862,False,OK,295,83
woba_30g_home,0.3014,0.3033,0.181167,0.120561,0.060606,-0.001865,0.003367,False,OK,297,99
woba_30g_away,0.2974,0.3037,0.301279,0.240673,0.060606,-0.00623,0.003648,False,OK,297,99
bullpen_whip_10g_home,1.3313,1.3388,0.064157,0.0035,0.060657,-0.007552,0.043092,False,OK,296,99
bullpen_whip_10g_away,1.3408,1.3325,0.330981,0.269704,0.061277,0.008373,0.045286,False,OK,293,98
rest_days_home,1.0909,1.1347,0.000807,0.0,0.060606,-0.043771,0.062503,False,OK,297,99
rest_days_away,1.1414,1.1212,0.005806,0.0,0.060606,0.020202,0.061799,False,OK,297,99
sp_era_30g_home,3.9747,4.2385,0.097312,0.02718,0.070132,-0.263796,0.381486,False,OK,295,82
sp_era_30g_away,3.7441,4.4007,0.108531,0.03906,0.069471,-0.656615,0.383044,False,OK,295,83
sp_k9_30g_home,8.6315,8.7347,0.095801,0.025669,0.070132,-0.103242,0.450066,False,OK,295,82
sp_k9_30g_away,8.4014,8.771,0.100994,0.031523,0.069471,-0.369646,0.428862,False,OK,295,83
home_run_diff,-2.9394,1.037,0.247424,0.186818,0.060606,-3.976431,12.566764,False,OK,297,99
away_run_diff,-1.3131,-0.9428,0.220591,0.159985,0.060606,-0.37037,12.43119,False,OK,297,99
sp_fbvelo_3g_home,94.0497,94.3465,0.079614,0.009482,0.070132,-0.296843,0.427634,False,OK,295,82
sp_fbvelo_3g_away,94.241,94.1699,0.117889,0.047757,0.070132,0.071055,0.40024,False,OK,295,82
sp_fbpct_3g_home,0.4571,0.4632,0.07326,0.003128,0.070132,-0.006037,0.018256,False,OK,295,82
sp_fbpct_3g_away,0.4611,0.4661,0.02558,0.0,0.069471,-0.005028,0.018879,False,OK,295,83
sp_whiff_3g_home,0.1061,0.1083,0.090643,0.020511,0.070132,-0.002181,0.005889,False,OK,295,82
sp_whiff_3g_away,0.106,0.1101,0.092442,0.022971,0.069471,-0.004096,0.006109,False,OK,295,83
sp_xwoba_vs_l_home,0.3128,0.3157,0.115831,0.045699,0.070132,-0.002987,0.008325,False,OK,295,82
sp_xwoba_vs_l_away,0.313,0.3168,0.095829,0.026358,0.069471,-0.003741,0.00805,False,OK,295,83
sp_xwoba_vs_r_home,0.3073,0.3116,0.124924,0.054792,0.070132,-0.004339,0.008007,False,OK,295,82
sp_xwoba_vs_r_away,0.3167,0.3127,0.149052,0.079581,0.069471,0.004043,0.008039,False,OK,295,83
team_barrel_15g_home,0.0237,0.022,0.138316,0.07771,0.060606,0.00167,0.001497,False,OK,297,99
team_barrel_15g_away,0.021,0.0226,0.215764,0.155158,0.060606,-0.001526,0.001364,False,OK,297,99
team_hardhit_15g_home,0.3805,0.3778,0.330537,0.269931,0.060606,0.002718,0.006157,False,OK,297,99
team_hardhit_15g_away,0.3767,0.3799,0.122986,0.06238,0.060606,-0.003132,0.006133,False,OK,297,99
team_exitvelo_15g_home,87.8247,87.7183,0.252648,0.192042,0.060606,0.106346,0.219755,False,OK,297,99
team_exitvelo_15g_away,87.9241,87.7239,0.137278,0.076672,0.060606,0.20018,0.22053,False,OK,297,99
opp_lefty_share_home,0.5017,0.4942,0.195124,0.134518,0.060606,0.00748,0.018027,False,OK,297,99
opp_lefty_share_away,0.4876,0.5022,0.15773,0.097124,0.060606,-0.014502,0.017997,False,OK,297,99
bullpen_pitches_3d_home,171.2727,169.7071,0.105273,0.044667,0.060606,1.565657,10.038915,False,OK,297,99
bullpen_pitches_3d_away,157.7879,165.9562,0.148593,0.087987,0.060606,-8.16835,9.688769,False,OK,297,99
bullpen_ip_3d_home,9.7407,9.6622,0.126384,0.065778,0.060606,0.078563,0.533509,False,OK,297,99
bullpen_ip_3d_away,9.0572,9.3996,0.06498,0.004374,0.060606,-0.342312,0.5167,False,OK,297,99
lineup_woba_mean_home,0.3459,0.3473,0.115566,0.05496,0.060606,-0.001336,0.00183,False,OK,297,99
lineup_woba_mean_away,0.3435,0.3478,0.18973,0.129124,0.060606,-0.004279,0.001984,True,WARN,297,99
lineup_woba_top3_home,0.3554,0.3585,0.206628,0.146022,0.060606,-0.003083,0.002641,False,OK,297,99
lineup_woba_top3_away,0.35,0.3577,0.280449,0.219843,0.060606,-0.007736,0.003031,True,WARN,297,99
lineup_woba_std_home,0.0292,0.0283,0.134213,0.073607,0.060606,0.000883,0.001196,False,OK,297,99
lineup_woba_std_away,0.0274,0.0287,0.2235,0.162894,0.060606,-0.001359,0.001258,False,OK,297,99
