feature,feature_key,shap_value,signed_effect
Away team record,away_record_pct,0.06,positive
Away Elo,away_elo,0.05,positive
Home field,home_field,0.03,positive
Away wOBA (30g),away_woba_30g,0.02,positive
Pitcher ERA diff,sp_era_diff,-0.02,negative
Rest days,home_rest_days,0.01,positive
Market vig,market_vig,-0.01,negative
Home wOBA (30g),home_woba_30g,-0.01,negative
Bullpen WHIP (10g),bullpen_whip_10g,-0.01,negative
Home team record,home_record_pct,-0.005,negative
Total line,total_line,-0.002,negative
