game_pk,innings,home_score,away_score
778485,9,7,0
778486,9,1,4
778487,9,3,1
778488,9,5,0
778489,9,1,3
778490,9,3,8
778491,9,5,3
778492,9,5,7
778493,9,7,0
778494,9,4,7
778495,11,7,9
778497,9,4,2
778498,9,0,1
778469,9,3,2
778471,9,2,10
778472,9,6,5
778473,9,12,5
778474,9,1,6
778475,9,3,6
778476,9,5,2
778477,11,3,2
778478,9,4,2
778479,9,2,4
778480,9,0,1
778481,11,5,6
778482,9,5,1
778483,9,0,3
778484,9,3,4
778462,9,2,5
778466,9,9,7
778467,9,3,1
778468,9,1,0
778470,9,4,8
778444,11,10,9
778447,9,6,8
778453,9,3,2
778454,9,5,2
778455,9,8,2
778456,11,3,6
778457,9,4,6
778458,9,7,4
778459,9,3,2
778460,9,3,1
778461,9,4,9
778463,9,13,9
778464,9,10,0
778465,9,5,0
778436,9,4,1
778437,9,10,4
778438,9,6,4
778439,9,7,11
778440,9,6,1
778441,9,1,8
778442,9,4,7
778445,9,7,2
778446,9,3,2
778448,9,1,3
778449,9,4,10
778450,9,7,1
778451,9,0,4
778452,9,4,3
778419,10,7,9
778420,9,4,3
778421,9,8,2
778422,9,4,1
778423,9,12,5
778425,9,6,2
778427,9,5,4
778428,11,5,4
778429,9,5,4
778430,9,7,8
778432,9,18,7
778433,9,4,3
778434,9,8,7
778435,9,2,1
778443,10,5,4
778405,9,4,3
778410,9,0,2
778411,9,7,0
778412,9,4,2
778413,9,1,5
778414,9,4,5
778415,9,8,4
778416,9,2,0
778418,9,6,4
778424,9,6,2
778426,9,2,6
778394,9,1,7
778395,9,10,4
778396,9,4,3
778397,9,0,1
778398,12,1,2
778400,9,2,1
778401,9,10,6
778402,9,1,0
778403,9,5,0
778404,9,1,6
778406,9,7,5
778407,9,10,5
778408,9,3,5
778409,9,8,2
778417,9,3,4
778376,10,8,6
778379,9,2,17
778380,9,9,0
778381,9,1,2
778383,9,7,6
778385,9,2,6
778386,11,1,2
778387,9,3,4
778388,9,0,4
778389,13,2,1
778390,9,0,5
778391,9,3,2
778392,9,5,6
778393,9,3,4
778399,9,5,4
778371,9,7,2
778373,9,3,2
778377,10,4,3
778378,9,6,1
778382,9,1,11
778384,11,4,2
778356,9,3,0
778358,9,6,7
778360,9,5,3
778361,9,8,0
778363,9,6,7
778364,9,0,7
778365,9,2,0
778366,9,11,1
778367,9,6,3
778368,9,14,3
778369,9,4,7
778370,6,1,9
778374,9,5,3
778375,9,7,0
778341,9,9,2
778345,9,0,16
778346,9,3,1
778347,9,1,4
778348,9,0,4
778349,9,3,2
778350,9,5,4
778351,9,1,4
778352,9,2,0
778353,9,4,5
778354,9,7,6
778355,9,8,4
778357,9,5,2
778359,9,6,3
778362,9,5,4
778329,9,7,3
778330,9,6,0
778331,9,2,4
778332,9,5,2
778333,9,0,8
778334,9,3,1
778335,9,5,1
778336,9,7,0
778337,9,11,4
778338,9,1,3
778339,9,4,5
778340,9,8,3
778342,9,2,4
778343,9,4,0
778344,10,6,7
778315,9,10,4
778320,9,4,10
778321,9,10,3
778322,9,4,8
778323,9,1,9
778324,9,1,5
778325,9,8,3
778326,9,5,3
778327,9,4,1
778328,9,16,1
778302,9,6,2
778305,10,1,2
778306,9,4,0
778307,9,6,3
778308,9,0,2
778309,9,3,12
778310,9,5,0
778311,9,6,3
778312,9,4,2
778313,9,6,4
778314,9,0,3
778316,9,8,4
778317,9,3,6
778318,9,4,10
778319,9,4,7
778287,9,8,7
778288,9,4,2
778289,9,3,1
778290,9,4,1
778293,9,6,1
778294,9,1,3
778295,9,5,1
778296,9,4,11
778297,9,3,1
778298,9,0,1
778299,10,4,3
778300,9,4,3
778301,9,9,1
778303,9,2,6
778304,9,3,5
778278,9,4,1
778279,9,6,4
778280,9,1,0
778281,9,5,3
778282,9,3,6
778283,9,0,8
778285,10,7,11
778286,9,6,1
778291,9,4,6
778292,9,6,2
778260,9,2,0
778261,9,5,3
778263,9,0,3
778268,9,13,11
778269,9,6,4
778270,9,5,4
778271,9,7,10
778272,9,0,1
778273,9,3,1
778274,9,7,2
778275,9,10,3
778276,9,3,8
778277,9,7,3
778284,9,6,4
778243,9,2,3
778247,9,11,12
778251,9,4,3
778252,9,11,10
778253,9,1,3
778254,9,0,3
778255,10,10,8
778256,9,3,0
778257,9,6,2
778258,12,4,8
778259,9,3,2
778262,9,9,5
778264,10,4,3
778265,9,3,1
778267,9,4,3
778232,9,5,4
778234,9,0,1
778235,9,2,3
778236,11,2,3
778237,9,2,3
778239,9,14,1
778240,9,0,4
778241,9,3,8
778242,10,4,5
778244,9,7,4
778245,9,4,8
778246,10,3,4
778248,10,5,7
778249,9,6,2
778250,9,2,24
778266,9,3,1
778225,9,5,4
778226,9,5,2
778227,9,6,4
778228,9,6,4
778230,9,6,3
778231,9,7,0
778233,9,7,6
778238,9,4,2
778210,9,3,11
778211,9,3,9
778212,9,5,1
778213,9,5,8
778215,11,4,3
778216,9,4,2
778217,9,5,1
778218,9,3,2
778219,9,4,3
778220,10,11,10
778221,9,0,2
778222,9,7,0
778223,9,5,1
778224,9,8,3
778229,9,4,10
778197,9,5,2
778198,9,4,2
778199,11,6,7
778200,9,3,1
778201,9,6,3
778202,9,0,3
778203,10,4,3
778204,9,4,3
778205,9,7,6
778206,9,1,5
778207,9,5,8
778208,9,2,5
778209,9,6,0
778214,9,4,1
778188,10,4,7
778189,7,0,3
778190,9,7,4
778191,9,4,3
778192,9,4,3
778193,9,1,2
778194,9,6,5
778195,9,6,2
778196,9,3,4
778171,9,0,2
778172,9,0,1
778175,9,4,8
778176,9,0,3
778177,9,2,8
778178,9,6,5
778181,9,7,8
778182,9,4,0
778183,9,5,4
778184,9,3,2
778185,9,2,4
778186,9,11,4
778187,9,2,0
778154,9,14,0
778159,9,3,2
778160,9,1,4
778161,9,4,6
778162,10,7,8
778163,9,8,4
778164,9,6,5
778165,9,3,10
778166,9,5,1
778167,9,2,0
778168,9,4,3
778169,9,3,7
778173,9,0,2
778174,9,4,10
778179,9,5,4
778180,9,6,2
778136,9,7,6
778144,9,5,0
778145,9,9,2
778146,9,2,4
778147,9,6,4
778148,9,1,8
778149,10,3,2
778150,9,1,7
778151,9,3,2
778152,9,3,7
778153,9,8,7
778155,9,7,0
778156,9,11,2
778157,9,3,13
778158,10,1,3
778170,9,5,1
778132,10,7,6
778137,9,3,6
778138,9,5,19
778139,9,1,11
778140,9,4,3
778141,9,3,1
778142,9,8,5
778143,9,1,2
778120,9,2,8
778121,9,5,3
778122,9,15,2
778123,9,15,2
778124,9,6,4
778125,9,2,7
778126,9,7,4
778127,9,2,10
778128,9,1,3
778129,9,2,1
778130,9,8,3
778131,9,7,6
778133,9,3,15
778135,9,0,9
778102,9,2,1
778104,9,9,3
778105,9,5,3
778106,9,1,7
778109,9,12,7
778110,9,4,7
778111,9,4,6
778112,9,4,3
778113,9,0,3
778114,10,7,6
778115,9,5,4
778116,9,4,2
778117,9,3,4
778118,9,7,2
778119,9,1,9
778134,9,0,6
778094,9,8,0
778095,9,4,2
778096,9,0,3
778097,9,2,8
778098,9,3,4
778099,9,2,4
778100,9,3,8
778101,9,4,10
778103,9,2,4
778107,9,9,1
778108,10,4,3
778079,9,7,3
778080,9,0,10
778081,9,5,3
778082,9,4,0
778083,9,1,13
778084,9,3,9
778085,9,1,9
778086,9,3,2
778087,9,6,1
778088,9,3,0
778089,9,6,1
778090,9,4,9
778091,9,1,6
778092,9,1,2
778093,9,3,0
778064,9,3,5
778065,9,1,2
778066,9,3,8
778067,9,5,2
778069,9,6,3
778070,9,1,2
778071,9,2,6
778072,9,0,4
778073,9,3,4
778074,9,2,3
778075,9,9,6
778076,9,3,10
778077,9,6,11
778078,9,7,2
778048,9,9,3
778050,9,1,13
778051,9,0,4
778052,9,8,1
778053,9,6,5
778054,9,4,0
778055,7,5,4
778056,9,4,5
778057,9,5,7
778058,9,1,4
778059,10,9,11
778060,9,4,3
778061,9,2,3
778062,9,6,11
778063,9,4,5
778068,9,5,4
778036,9,6,3
778038,11,7,6
778039,9,4,5
778042,9,5,1
778043,9,3,0
778044,9,9,2
778045,9,3,4
778047,9,4,7
778049,9,4,0
778024,9,3,5
778025,9,8,3
778026,9,10,9
778027,11,5,14
778028,9,9,1
778030,9,2,1
778031,9,4,3
778032,9,5,1
778033,9,4,3
778034,10,2,1
778035,10,5,4
778037,9,1,6
778040,9,4,8
778041,9,12,3
778046,9,1,9
778009,9,5,4
778010,9,5,6
778011,9,5,2
778012,9,2,1
778013,10,6,8
778014,9,1,7
778015,9,1,9
778016,9,5,0
778017,9,1,10
778018,9,6,4
778019,10,4,3
778020,9,1,3
778021,9,0,7
778022,9,6,8
778023,9,3,4
777999,9,5,3
778000,9,5,8
778003,11,5,4
778004,9,2,10
778005,10,6,7
778006,9,5,0
778007,9,5,2
778008,9,10,0
778029,9,1,11
777984,9,3,6
777986,9,1,4
777988,9,11,14
777989,9,3,0
777990,12,2,1
777991,9,6,2
777992,9,3,1
777993,9,9,13
777994,9,2,10
777995,9,0,10
777996,9,2,1
777997,9,6,0
777998,9,3,2
778001,9,7,2
778002,9,4,3
777970,9,3,6
777972,9,11,7
777973,9,5,2
777974,9,2,1
777975,9,3,0
777976,9,0,21
777977,9,1,10
777978,9,1,3
777979,9,9,13
777980,9,2,4
777981,9,3,2
777982,9,5,6
777983,9,1,7
777985,11,2,3
777987,9,3,10
777954,9,1,8
777955,9,9,3
777956,10,7,6
777957,9,2,12
777958,9,1,9
777961,9,3,7
777962,9,1,6
777963,9,6,0
777964,9,2,4
777965,9,1,3
777966,9,4,2
777967,9,4,3
777968,9,6,2
777969,9,1,6
777971,9,0,3
777939,9,1,2
777941,9,5,11
777947,9,5,9
777948,9,5,7
777949,9,2,1
777950,9,4,3
777951,9,14,2
777952,9,5,2
777953,9,2,3
777959,9,4,3
777960,9,5,0
777926,11,2,1
777930,9,10,6
777931,9,2,1
777932,9,6,4
777934,9,4,1
777935,9,9,11
777936,9,5,4
777937,9,1,11
777940,11,10,9
777942,9,5,2
777943,9,2,1
777944,9,2,0
777945,10,1,5
777914,9,5,1
777915,9,2,3
777916,9,7,8
777917,9,9,3
777918,9,8,3
777919,9,0,4
777920,9,4,3
777921,9,1,3
777922,9,2,1
777923,9,3,1
777924,9,3,6
777925,9,5,9
777927,9,6,5
777928,9,2,4
777929,9,4,5
777933,9,7,14
777938,9,6,8
777909,9,5,2
777910,9,1,0
777911,9,0,4
777912,9,7,1
777913,9,3,8
777946,9,19,2
777891,9,9,1
777895,9,3,6
777896,9,1,5
777897,9,8,0
777898,9,0,3
777899,9,2,6
777900,9,13,3
777901,9,3,10
777902,9,5,4
777903,9,9,4
777904,9,6,2
777905,9,8,4
777906,9,4,5
777907,9,3,4
777908,9,2,4
777875,9,1,4
777879,10,1,0
777881,9,7,3
777882,9,5,1
777883,9,0,7
777884,9,9,11
777885,9,0,1
777886,9,2,1
777887,9,12,14
777888,9,2,3
777889,9,0,4
777890,9,6,10
777892,9,4,1
777893,9,7,6
777894,9,5,2
777864,9,2,1
777865,9,5,2
777866,9,4,6
777867,9,3,2
777868,9,1,6
777869,9,3,4
777870,9,1,0
777871,9,2,3
777872,9,6,2
777873,9,4,10
777874,9,3,1
777876,9,4,10
777877,9,5,1
777878,9,8,2
777880,9,1,0
777852,9,3,9
777853,9,3,4
777854,9,5,9
777855,9,1,3
777856,9,3,1
777857,9,1,5
777858,9,3,4
777859,9,1,7
777860,9,5,4
777861,9,6,5
777862,9,11,4
777863,9,8,7
777836,9,3,2
777838,10,4,3
777840,9,4,5
777841,9,5,3
777842,9,4,7
777843,9,5,7
777844,9,5,2
777845,9,3,0
777846,9,1,0
777847,9,1,0
777848,9,3,2
777849,9,5,2
777850,9,1,14
