game_id,game_date,start_time_utc,home_team,away_team,home_record,away_record,home_win_prob_model,away_win_prob_model,moneyline_home,moneyline_away,total_line,run_line_home,juice,edge_home,edge_away,sp_era_home,sp_k9_home,sp_era_away,sp_k9_away,venue,model_pick,home_win,home_score,away_score,total_runs
20260825_PIT@SD,2026-08-25,2026-08-25 19:00:00,SD,PIT,71-61,64-69,0.5851,0.41490000000000005,-130,114,7.2,-141,0.0357,0.0377,-0.0377,2.9501188,8.209026,3.857143,11.371922,Petco Park,SD,0.0,0,1,1
20260825_HOU@NYY,2026-08-25,2026-08-25 19:00:00,NYY,HOU,74-56,65-66,0.5169,0.4831,-101,-121,6.8,-178,0.0302,0.0383,-0.0383,5.1864405,9.305085,4.909091,9.818182,Yankee Stadium,NYY,0.0,7,9,16
20260825_COL@WSH,2026-08-25,2026-08-25 19:00:00,WSH,COL,62-71,50-81,0.5408,0.45920000000000005,-221,200,6.1,-159,0.0364,-0.133,0.133,2.7236843,8.763158,,,Nationals Park,WSH,0.0,1,3,4
20260825_LAD@ATL,2026-08-25,2026-08-25 19:00:00,ATL,LAD,76-55,80-51,0.4481,0.5519000000000001,-267,236,8.1,-156,0.0562,-0.2616,0.2616,4.05,7.6275,2.7692308,11.307693,Truist Park,LAD,1.0,4,3,7
20260825_TEX@CWS,2026-08-25,2026-08-25 19:00:00,CWS,TEX,68-63,66-66,0.5578,0.44220000000000004,-127,111,6.9,-126,0.0238,0.0164,-0.0164,4.016529,7.735537,3.2021563,11.425876,Rate Field,CWS,1.0,11,7,18
20260825_BOS@MIA,2026-08-25,2026-08-25 19:00:00,MIA,BOS,67-65,72-59,0.4498,0.5502,-106,-120,7.2,-133,0.0381,-0.0356,0.0356,4.2334495,7.432056,2.9567723,10.426513,loanDepot park,BOS,0.0,3,7,10
20260825_MIL@NYM,2026-08-25,2026-08-25 19:00:00,NYM,MIL,59-72,81-50,0.5202,0.4798,105,-114,10.0,-132,0.0215,0.0422,-0.0422,3.375,6.75,2.7,11.358621,Citi Field,NYM,1.0,3,2,5
20260825_CIN@SF,2026-08-25,2026-08-25 19:00:00,SF,CIN,53-78,62-70,0.5359,0.46409999999999996,-125,-100,7.4,-132,0.0552,0.0096,-0.0096,4.3438487,6.2176657,5.153226,7.766129,Oracle Park,SF,1.0,3,1,4
20260825_MIN@ATH,2026-08-25,2026-08-25 19:00:00,ATH,MIN,51-81,64-68,0.4617,0.5383,114,-143,8.2,-127,0.0251,0.0191,-0.0191,3.8734176,10.025316,3.678832,10.379562,Unknown,MIN,1.0,4,2,6
20260825_CHC@AZ,2026-08-25,2026-08-25 19:00:00,AZ,CHC,69-63,76-56,0.529,0.471,-125,109,7.7,-132,0.0397,-0.0083,0.0083,2.7473683,6.536842,2.3418367,6.887755,Unknown,AZ,1.0,5,4,9
20260825_PHI@SEA,2026-08-25,2026-08-25 19:00:00,SEA,PHI,63-69,73-59,0.5093,0.4907,-153,133,7.3,-162,0.0484,-0.0756,0.0756,4.309227,7.8778057,5.0969386,10.056123,T-Mobile Park,SEA,1.0,4,1,5
20260825_KC@TOR,2026-08-25,2026-08-25 19:00:00,TOR,KC,64-68,58-74,0.5709,0.42910000000000004,-141,112,7.4,-154,0.0372,0.0173,-0.0173,6.0902257,6.4962406,4.7493978,7.221687,Rogers Centre,TOR,0.0,3,5,8
20260825_BAL@STL,2026-08-25,2026-08-25 19:00:00,STL,BAL,66-66,63-68,0.5062,0.4938,-125,110,7.6,-150,0.0535,-0.0323,0.0323,5.067227,9.453781,5.31383,6.606383,Busch Stadium,STL,0.0,1,13,14
20260825_CLE@LAA,2026-08-25,2026-08-25 19:00:00,LAA,CLE,52-80,66-66,0.4212,0.5788,-137,120,10.2,-165,0.0331,-0.1386,0.1386,3.0092878,9.111455,3.4955356,12.113839,Angel Stadium,CLE,0.0,6,8,14
20260825_TB@DET,2026-08-25,2026-08-25 19:00:00,DET,TB,61-70,78-53,0.5259,0.47409999999999997,113,-143,7.7,-138,0.0358,0.0821,-0.0821,3.2142856,7.071429,4.280488,7.0792685,Comerica Park,DET,1.0,4,1,5
