feature,current_mean,baseline_mean,psi,psi_adjusted,noise_floor,mean_shift,shift_se,location_shift,status,weight_pct,n_baseline,n_current
is_home,1.0,1.0,0.0,0.0,0.06,0.0,0.0,False,OK,0.0,300,100
win_pct_diff,0.0051,0.0006,0.406777,0.346777,0.06,0.004525,0.012119,False,OK,1.899,300,100
elo_diff,14.8108,0.738,0.285169,0.225169,0.06,14.072796,13.66522,False,OK,1.552,300,100
rest_days_diff,0.02,0.0067,0.000299,0.0,0.06,0.013333,0.045897,False,OK,1.312,300,100
sp_era_diff,0.0841,0.0304,0.076255,0.013916,0.062339,0.05366,0.335449,False,OK,2.263,291,96
sp_era_5g_diff,-0.1349,-0.0738,0.176316,0.114187,0.062129,-0.06109,0.50138,False,OK,2.21,295,96
sp_k9_diff,-0.2602,-0.0262,0.128244,0.065905,0.062339,-0.234051,0.437847,False,OK,1.843,291,96
sp_k9_5g_diff,-0.1521,-0.1152,0.048799,0.0,0.062129,-0.036825,0.623906,False,OK,0.576,295,96
sp_fbvelo_diff,0.2152,0.0138,0.10151,0.038887,0.062623,0.201456,0.531621,False,OK,1.749,295,95
sp_fbpct_diff,0.0122,-0.0086,0.172616,0.110487,0.062129,0.020798,0.024286,False,OK,1.573,295,96
sp_whiff_diff,0.0031,-0.0016,0.120635,0.058506,0.062129,0.00466,0.007704,False,OK,0.9,295,96
sp_xwoba_diff,0.0037,-0.0004,0.265469,0.20334,0.062129,0.004101,0.012018,False,OK,2.304,295,96
sp_xwoba_vs_l_diff,0.002,0.0025,0.089237,0.026898,0.062339,-0.00048,0.011961,False,OK,2.194,291,96
lineup_woba_mean_diff,0.0022,-0.0004,0.149978,0.089978,0.06,0.002576,0.002787,False,OK,1.442,300,100
lineup_woba_top3_diff,0.0017,0.0022,0.047146,0.0,0.06,-0.000551,0.004144,False,OK,0.616,300,100
lineup_woba_std_diff,0.0003,-0.0002,0.079999,0.019999,0.06,0.000498,0.001791,False,OK,2.104,300,100
woba_30g_diff,0.0065,-0.0014,0.147226,0.087226,0.06,0.007885,0.00494,False,OK,1.504,300,100
bullpen_whip_diff,0.003,-0.0041,0.264302,0.204048,0.060254,0.007092,0.064552,False,OK,2.101,295,100
bullpen_whip_3g_diff,-0.0825,-0.0724,0.05603,0.0,0.063127,-0.010114,0.1199,False,OK,1.437,295,94
bullpen_pitches_diff,22.19,4.51,0.16013,0.10013,0.06,17.68,11.42657,False,OK,1.821,300,100
team_barrel_diff,0.0012,0.0002,0.115835,0.055835,0.06,0.000957,0.002053,False,OK,1.056,300,100
team_hardhit_diff,0.0178,-0.0029,0.182095,0.122095,0.06,0.02072,0.008926,True,WARN,1.85,300,100
team_exitvelo_diff,0.4235,-0.0511,0.104408,0.044408,0.06,0.474637,0.311168,False,OK,1.492,300,100
lineup_handedness_matchup_advantage,0.0153,0.0031,0.240013,0.177141,0.062872,0.012235,0.018473,False,OK,1.401,300,94
travel_fatigue_diff,-0.16,-0.1333,0.000125,0.0,0.06,-0.026667,0.103497,False,OK,0.044,300,100
closer_availability_diff,0.04,-0.0233,0.023783,0.0,0.06,0.063333,0.056717,False,OK,0.006,300,100
dome_is_neutral,0.36,0.28,0.029962,0.0,0.06,0.08,0.079344,False,OK,0.034,300,100
park_factor_slug_diff,-0.0001,0.0002,0.232437,0.172437,0.06,-0.000259,0.000147,False,OK,1.295,300,100
wind_advantage_flyball_factor,0.0046,-0.0012,0.115826,0.053487,0.062339,0.005772,0.056838,False,OK,1.189,291,96
air_density_velocity_boost,0.0201,-0.0071,0.195925,0.133302,0.062623,0.027169,0.049057,False,OK,1.525,295,95
