game_pk,game_date,home_expected_runs,away_expected_runs,home_score,away_score
778485.0,2025-04-01,4.7612,4.1045,7,0
778486.0,2025-04-01,4.7612,4.1045,1,4
778487.0,2025-04-01,4.7612,4.1045,3,1
778488.0,2025-04-01,4.7612,4.1045,5,0
778489.0,2025-04-01,4.7612,4.1045,1,3
778490.0,2025-04-01,4.7612,4.1045,3,8
778491.0,2025-04-01,4.7612,4.1045,5,3
778492.0,2025-04-01,4.7612,4.1045,5,7
778493.0,2025-04-01,4.7612,4.1045,7,0
778494.0,2025-04-01,4.7612,4.1045,4,7
778495.0,2025-04-01,4.7612,4.1045,7,9
778497.0,2025-04-01,4.7612,4.1045,4,2
778498.0,2025-04-01,4.7612,4.1045,0,1
778469.0,2025-04-02,4.7612,4.1045,3,2
778471.0,2025-04-02,4.7612,4.1045,2,10
778472.0,2025-04-02,4.7612,4.1045,6,5
778473.0,2025-04-02,4.7612,4.1045,12,5
778474.0,2025-04-02,4.7612,4.1045,1,6
778475.0,2025-04-02,4.7612,4.1045,3,6
778476.0,2025-04-02,4.7612,4.1045,5,2
778477.0,2025-04-02,4.7612,4.1045,3,2
778478.0,2025-04-02,4.7612,4.1045,4,2
778479.0,2025-04-02,4.7612,4.1045,2,4
778480.0,2025-04-02,4.7612,4.1045,0,1
778481.0,2025-04-02,4.7612,4.1045,5,6
778482.0,2025-04-02,4.7612,4.1045,5,1
778483.0,2025-04-02,4.7612,4.1045,0,3
778484.0,2025-04-02,4.7612,4.1045,3,4
778462.0,2025-04-03,4.7612,4.1045,2,5
778466.0,2025-04-03,4.7612,4.1045,9,7
778467.0,2025-04-03,4.7612,4.1045,3,1
778468.0,2025-04-03,4.7612,4.1045,1,0
778470.0,2025-04-03,4.7612,4.1045,4,8
778444.0,2025-04-04,4.7612,4.1045,10,9
778447.0,2025-04-04,4.7612,4.1045,6,8
778453.0,2025-04-04,4.7612,4.1045,3,2
778454.0,2025-04-04,4.7612,4.1045,5,2
778455.0,2025-04-04,4.7612,4.1045,8,2
778456.0,2025-04-04,4.7612,4.1045,3,6
778457.0,2025-04-04,4.7612,4.1045,4,6
778458.0,2025-04-04,4.7612,4.1045,7,4
778459.0,2025-04-04,4.7612,4.1045,3,2
778460.0,2025-04-04,4.7612,4.1045,3,1
778461.0,2025-04-04,4.7612,4.1045,4,9
778463.0,2025-04-04,4.7612,4.1045,13,9
778464.0,2025-04-04,4.7612,4.1045,10,0
778465.0,2025-04-04,4.7612,4.1045,5,0
778436.0,2025-04-05,4.7612,4.1045,4,1
778437.0,2025-04-05,4.7612,4.1045,10,4
