feature,current_mean,baseline_mean,psi,psi_adjusted,noise_floor,mean_shift,shift_se,location_shift,status,weight_pct,n_baseline,n_current
is_home,1.0,1.0,0.0,0.0,0.074962,0.0,0.0,False,OK,,250,79
dome_is_neutral,0.3671,0.3,0.0,0.0,0.074962,0.067089,0.090119,False,OK,,250,79
park_factor_slug_diff,-0.0001,0.0001,0.178687,0.103725,0.074962,-0.000194,0.000154,False,OK,,250,79
wind_advantage_flyball_factor,0.0009,0.0197,0.097996,0.020959,0.077037,-0.018728,0.057565,False,OK,,242,77
air_density_velocity_boost,0.0028,0.0042,0.316245,0.238592,0.077653,-0.001383,0.053042,False,OK,,244,76
home_elo,1505.8509,1505.0565,0.147165,0.072203,0.074962,0.794393,10.664498,False,OK,,250,79
away_elo,1487.6135,1497.3911,0.170583,0.095621,0.074962,-9.777543,10.915381,False,OK,,250,79
home_win_pct,0.5033,0.5039,0.269447,0.194485,0.074962,-0.000552,0.012082,False,OK,,250,79
away_win_pct,0.4923,0.4985,0.506697,0.431735,0.074962,-0.006246,0.012023,False,OK,,250,79
sp_era_home,3.9912,4.0432,0.06649,0.0,0.07606,-0.052012,0.265712,False,OK,,245,78
sp_era_away,3.9296,4.0238,0.044937,0.0,0.075911,-0.094203,0.259476,False,OK,,247,78
sp_k9_home,8.5605,8.6724,0.1495,0.07344,0.07606,-0.11195,0.340592,False,OK,,245,78
sp_k9_away,8.8707,8.6406,0.122968,0.047057,0.075911,0.23008,0.352199,False,OK,,247,78
sp_xwoba_home,0.3072,0.3116,0.134296,0.058311,0.075985,-0.00444,0.009462,False,OK,,246,78
sp_xwoba_away,0.3033,0.3109,0.093981,0.018144,0.075837,-0.007557,0.009296,False,OK,,248,78
lineup_woba_mean_home,0.346,0.346,0.166726,0.091764,0.074962,8e-06,0.002087,False,OK,,250,79
lineup_woba_mean_away,0.3433,0.3464,0.114317,0.039355,0.074962,-0.003107,0.002232,False,OK,,250,79
lineup_woba_top3_home,0.353,0.357,0.297455,0.222493,0.074962,-0.004034,0.002984,False,OK,,250,79
lineup_woba_top3_away,0.3518,0.3549,0.218811,0.143849,0.074962,-0.003014,0.003615,False,OK,,250,79
woba_30g_home,0.3022,0.3014,0.230296,0.155334,0.074962,0.00079,0.003471,False,OK,,250,79
woba_30g_away,0.2951,0.3024,0.361305,0.286343,0.074962,-0.00733,0.003799,False,OK,,250,79
bullpen_whip_10g_home,1.3173,1.3518,0.06181,0.0,0.075034,-0.034483,0.042698,False,OK,,249,79
bullpen_whip_10g_away,1.3186,1.3389,0.164759,0.089504,0.075255,-0.020317,0.050799,False,OK,,246,79
bullpen_whip_3g_home,1.2594,1.324,0.176224,0.10119,0.075034,-0.064567,0.084295,False,OK,,249,79
bullpen_whip_3g_away,1.3149,1.3782,0.280471,0.205216,0.075255,-0.063292,0.094141,False,OK,,246,79
team_barrel_15g_home,0.0228,0.0221,0.152566,0.077604,0.074962,0.000722,0.001727,False,OK,,250,79
team_barrel_15g_away,0.0226,0.0215,0.156736,0.081774,0.074962,0.001162,0.001472,False,OK,,250,79
team_exitvelo_15g_home,88.0747,87.7387,0.210308,0.135346,0.074962,0.335966,0.241689,False,OK,,250,79
team_exitvelo_15g_away,87.5636,87.8334,0.156712,0.08175,0.074962,-0.269733,0.25652,False,OK,,250,79
