feature,current_mean,baseline_mean,psi,psi_adjusted,status,weight_pct,n_baseline,n_current
elo_diff,14.587440418390258,-0.9145769150918364,0.276194283894786,0.276194283894786,ALERT,25.26,2672,60
win_pct_diff,0.026388888888888875,-0.002326296118684965,0.10840066326404313,0.10840066326404313,WARN,13.68,2654,60
rest_days_diff,-0.26666666666666666,-0.037678975131876416,0.1688628197537097,0.1688628197537097,WARN,3.79,2654,60
is_dome_home,0.35,0.28967065868263475,0.0,0.0,OK,3.33,2672,60
ewm_net_pts_diff,1.4974718940742104,-0.4787151252638118,0.20914249132671883,0.20914249132671883,WARN,21.43,2654,60
ewm_ypp_diff,-0.04935568427018296,-0.01345736342776895,0.2112303609269455,0.2112303609269455,WARN,17.25,2578,60
pace_plays_min_diff,0.009427424452223094,-0.0023308862914507046,0.2035363543372663,0.2035363543372663,WARN,0.26,2578,60
rest_short_diff,0.1,0.01921627731725697,0.6126376751125578,0.6126376751125578,ALERT,0.35,2654,60
div_game,0.48333333333333334,0.3630239520958084,0.0,0.0,OK,0.22,2672,60
travel_miles_diff,-705.3833122908719,-905.6981517785464,0.1279176327279501,0.1279176327279501,WARN,0.3,2635,60
altitude_home,665.0666666666667,600.5213323353294,0.06865424072026094,0.06865424072026094,OK,1.27,2672,60
prime_time,0.2,0.2088323353293413,0.0,0.0,OK,2.04,2672,60
is_turf_home,0.4666666666666667,0.4288432267884323,0.0,0.0,OK,0.24,2628,60
temp_f,61.548717948717965,58.58076923076923,0.539451997655778,0.539451997655778,ALERT,0.26,1898,39
wind_mph,5.641025641025641,7.9507903055848255,1.4840103739708908,1.4840103739708908,ALERT,0.27,1898,39
is_precip,0.02564102564102564,0.012118018967334035,0.0,0.0,OK,0.81,1898,39
is_snow,0.0,0.005268703898840885,0.0,0.0,OK,0.06,1898,39
pbp_air_yards_att_ewm_diff,-0.20819817935244173,-0.010649565164549702,1.362871205163342,1.362871205163342,ALERT,5.67,2578,60
pbp_air_yards_att_ewm_home,7.496485694928944,7.968935581291985,0.3859824791334764,0.3859824791334764,ALERT,0.25,2616,60
pbp_air_yards_att_ewm_away,7.704683874281388,7.974296408511964,0.18063777469883985,0.18063777469883985,WARN,0.29,2616,60
elo_home,1506.2488702712512,1503.1244178751078,0.3617721276532878,0.3617721276532878,ALERT,0.26,2672,60
elo_away,1491.6614298528611,1504.0389947901997,0.179142681395172,0.179142681395172,WARN,0.26,2672,60
win_pct_home,0.5069444444444444,0.49914080021384244,0.14549162312113442,0.14549162312113442,WARN,0.33,2656,60
win_pct_away,0.48055555555555557,0.5015920454409528,0.1414893498988847,0.1414893498988847,WARN,0.3,2654,60
ewm_net_pts_home,0.6317040622492757,-0.23988814698187635,0.15273947043478212,0.15273947043478212,WARN,0.3,2656,60
ewm_net_pts_away,-0.865767831824935,0.24687396130398476,1.285284396460097,1.285284396460097,ALERT,0.27,2654,60
ewm_ypp_home,4.093546777251952,4.193676815863898,0.160828974239267,0.160828974239267,WARN,0.29,2616,60
ewm_ypp_away,4.1429024615221355,4.208070610371064,0.09996463052699953,0.09996463052699953,OK,0.37,2616,60
rest_days_home,72.35,22.03652108433735,0.2052515985151591,0.2052515985151591,WARN,0.28,2656,60
rest_days_away,72.61666666666666,21.897889977392616,0.26082641705833254,0.26082641705833254,ALERT,0.29,2654,60
is_home,1.0,1.0,,,OK,0.0,2672,60
