game_id,season,week,game_type,gameday,away_team,home_team,away_score,home_score,result,total,spread_line,total_line,n_plays
2019_01_GB_CHI,2019,1,REG,2019-09-05,GB,CHI,10,3,-7,13,3.5,47.0,174
2019_01_LA_CAR,2019,1,REG,2019-09-08,LA,CAR,30,27,-3,57,-1.5,49.5,192
2019_01_TEN_CLE,2019,1,REG,2019-09-08,TEN,CLE,43,13,-30,56,5.5,44.0,176
2019_01_KC_JAX,2019,1,REG,2019-09-08,KC,JAX,40,26,-14,66,-3.5,49.0,167
2019_01_BAL_MIA,2019,1,REG,2019-09-08,BAL,MIA,59,10,-49,69,-7.0,41.0,170
2019_01_ATL_MIN,2019,1,REG,2019-09-08,ATL,MIN,12,28,16,40,3.5,47.0,169
2019_01_BUF_NYJ,2019,1,REG,2019-09-08,BUF,NYJ,17,16,-1,33,2.5,41.0,181
2019_01_WAS_PHI,2019,1,REG,2019-09-08,WAS,PHI,27,32,5,59,10.5,44.0,184
2019_01_IND_LAC,2019,1,REG,2019-09-08,IND,LAC,24,30,6,54,6.0,44.5,165
2019_01_CIN_SEA,2019,1,REG,2019-09-08,CIN,SEA,20,21,1,41,9.5,44.0,174
2019_01_DET_ARI,2019,1,REG,2019-09-08,DET,ARI,27,27,0,54,-2.5,45.5,234
2019_01_NYG_DAL,2019,1,REG,2019-09-08,NYG,DAL,17,35,18,52,7.0,44.0,176
2019_01_SF_TB,2019,1,REG,2019-09-08,SF,TB,31,17,-14,48,1.0,51.0,173
2019_01_PIT_NE,2019,1,REG,2019-09-08,PIT,NE,3,33,30,36,5.5,49.0,176
2019_01_HOU_NO,2019,1,REG,2019-09-09,HOU,NO,28,30,2,58,6.5,52.0,178
2019_01_DEN_OAK,2019,1,REG,2019-09-09,DEN,OAK,16,24,8,40,-3.0,42.5,159
2019_02_TB_CAR,2019,2,REG,2019-09-12,TB,CAR,20,14,-6,34,6.5,48.0,186
2019_02_ARI_BAL,2019,2,REG,2019-09-15,ARI,BAL,17,23,6,40,13.0,46.0,179
2019_02_SF_CIN,2019,2,REG,2019-09-15,SF,CIN,41,17,-24,58,1.0,46.0,183
2019_02_LAC_DET,2019,2,REG,2019-09-15,LAC,DET,10,13,3,23,-1.0,47.0,160
2019_02_MIN_GB,2019,2,REG,2019-09-15,MIN,GB,16,21,5,37,3.0,43.0,180
2019_02_JAX_HOU,2019,2,REG,2019-09-15,JAX,HOU,12,13,1,25,7.5,43.0,168
2019_02_NE_MIA,2019,2,REG,2019-09-15,NE,MIA,43,0,-43,43,-18.0,48.5,173
2019_02_BUF_NYG,2019,2,REG,2019-09-15,BUF,NYG,28,14,-14,42,-1.0,44.5,186
2019_02_SEA_PIT,2019,2,REG,2019-09-15,SEA,PIT,28,26,-2,54,4.0,47.0,179
2019_02_IND_TEN,2019,2,REG,2019-09-15,IND,TEN,19,17,-2,36,3.0,43.5,170
2019_02_DAL_WAS,2019,2,REG,2019-09-15,DAL,WAS,31,21,-10,52,-6.0,46.5,167
2019_02_KC_OAK,2019,2,REG,2019-09-15,KC,OAK,28,10,-18,38,-7.0,53.5,178
2019_02_CHI_DEN,2019,2,REG,2019-09-15,CHI,DEN,16,14,-2,30,-3.0,41.0,183
2019_02_NO_LA,2019,2,REG,2019-09-15,NO,LA,9,27,18,36,2.0,52.5,173
2019_02_PHI_ATL,2019,2,REG,2019-09-15,PHI,ATL,20,24,4,44,-1.0,53.0,186
2019_02_CLE_NYJ,2019,2,REG,2019-09-16,CLE,NYJ,23,3,-20,26,-6.5,45.5,172
2019_03_TEN_JAX,2019,3,REG,2019-09-19,TEN,JAX,7,20,13,27,-1.5,38.0,173
