feature,current_mean,baseline_mean,psi,psi_adjusted,status,weight_pct,n_baseline,n_current
elo_diff,12.890178481106098,-0.5906898593292145,0.21858951511284663,0.21858951511284663,WARN,16.35,2159,60
win_pct_diff,0.023611111111111107,-0.000349584278155708,0.09679260645488172,0.09679260645488172,OK,7.98,2142,60
rest_days_diff,-0.26666666666666666,-0.058823529411764705,0.1633722720902251,0.1633722720902251,WARN,2.25,2142,60
is_dome_home,0.36666666666666664,0.3083097261567517,0.0,0.0,OK,3.25,2118,60
ewm_net_pts_diff,1.4174666770257713,-0.3443298809691528,0.22419865314757603,0.22419865314757603,WARN,13.89,2142,60
ewm_ypp_diff,-0.04503793132165819,-0.0034206317264638773,0.2634768066421763,0.2634768066421763,ALERT,9.92,2111,60
pace_plays_min_diff,0.01040223450098989,-0.0012822705405513479,0.23784730109188124,0.23784730109188124,WARN,4.52,2111,60
rest_short_diff,0.1,0.018207282913165267,0.6157403214602278,0.6157403214602278,ALERT,1.34,2142,60
div_game,0.48333333333333334,0.3603520148216767,0.0,0.0,OK,1.02,2159,60
travel_miles_diff,-867.9247851764495,-934.4411722899656,0.10035277975210047,0.10035277975210047,WARN,5.74,2154,55
altitude_home,699.4727272727273,608.1397400185701,0.09574509092229448,0.09574509092229448,OK,2.61,2154,55
prime_time,0.18333333333333332,0.20981936081519223,0.0,0.0,OK,1.61,2159,60
elo_home,1504.6139248126372,1501.420471708389,0.34160528298800813,0.34160528298800813,ALERT,3.39,2159,60
elo_away,1491.7237463315314,1502.0111615677179,0.1280645972084772,0.1280645972084772,WARN,3.51,2159,60
win_pct_home,0.5111111111111112,0.5002844759844293,0.1431184631706377,0.1431184631706377,WARN,1.74,2143,60
win_pct_away,0.4875,0.5007509064231753,0.11972316448352445,0.11972316448352445,WARN,2.2,2142,60
ewm_net_pts_home,0.8548460566526738,-0.17215232929841973,0.1826894675513373,0.1826894675513373,WARN,3.52,2143,60
ewm_net_pts_away,-0.5626206203730977,0.18187478212451882,0.361853830676765,0.361853830676765,ALERT,3.59,2142,60
ewm_ypp_home,4.101625329567832,4.214719772034693,0.20306072820793442,0.20306072820793442,WARN,3.65,2128,60
ewm_ypp_away,4.146663260889491,4.21893350559475,0.08196693990926099,0.08196693990926099,OK,4.7,2126,60
rest_days_home,72.38333333333334,21.868408772748484,0.27605033003906043,0.27605033003906043,ALERT,1.45,2143,60
rest_days_away,72.65,21.816526610644257,0.2847947413266233,0.2847947413266233,ALERT,1.76,2142,60
is_home,1.0,1.0,,,OK,0.0,2159,60
