feature,current_mean,baseline_mean,psi,psi_adjusted,noise_floor,mean_shift,shift_se,location_shift,status,weight_pct,n_baseline,n_current
elo_diff,-18.8752,-1.2566,0.734646,0.307555,0.427091,-17.61859,75.387355,False,INSUFFICIENT,,250,11
win_pct_diff,0.0303,-0.0017,0.570614,0.143523,0.427091,0.03197,0.13638,False,INSUFFICIENT,,250,11
rest_days_diff,1.5455,0.004,0.359819,0.0,0.427091,1.541455,1.124524,False,INSUFFICIENT,,250,11
is_dome_home,0.0,0.336,0.0,0.0,0.427091,-0.336,0.214447,False,INSUFFICIENT,,250,11
ewm_net_pts_diff,2.3042,-0.3397,0.32883,0.0,0.427091,2.643953,4.948015,False,INSUFFICIENT,,250,11
ewm_ypp_diff,0.03,-0.0188,0.541353,0.114262,0.427091,0.048809,0.333458,False,INSUFFICIENT,,250,11
pace_plays_min_diff,-0.0225,0.001,0.497259,0.070168,0.427091,-0.023492,0.057857,False,INSUFFICIENT,,250,11
rest_short_diff,-0.2727,0.012,0.378124,0.0,0.427091,-0.284727,0.179654,False,INSUFFICIENT,,250,11
div_game,0.1818,0.352,0.0,0.0,0.427091,-0.170182,0.219921,False,INSUFFICIENT,,250,11
travel_miles_diff,-1207.4735,-960.533,0.381061,0.0,0.427091,-246.940547,318.590445,False,INSUFFICIENT,,250,11
altitude_home,1137.8182,620.368,0.361193,0.0,0.427091,517.450182,474.082433,False,INSUFFICIENT,,250,11
prime_time,0.5455,0.224,0.0,0.0,0.427091,0.321455,0.195136,False,INSUFFICIENT,,250,11
