fold_id,train_end_date,validation_start,validation_end,n_train,n_validation
0,2018-12-30,2019-09-05,2019-09-11,256,16
1,2019-09-09,2019-09-12,2019-09-18,272,16
2,2019-09-16,2019-09-19,2019-09-25,288,16
3,2019-09-23,2019-09-26,2019-10-02,304,15
4,2019-09-30,2019-10-03,2019-10-09,319,15
5,2019-10-21,2019-10-24,2019-10-30,362,15
6,2019-11-25,2019-11-28,2019-12-04,432,16
7,2019-12-02,2019-12-05,2019-12-11,448,16
8,2019-12-09,2019-12-12,2019-12-18,464,16
9,2019-12-16,2019-12-19,2019-12-25,480,16
10,2019-12-23,2019-12-26,2020-01-01,496,16
11,2019-12-29,2020-09-10,2020-09-16,512,16
12,2020-09-14,2020-09-17,2020-09-23,528,16
13,2020-09-21,2020-09-24,2020-09-30,544,16
14,2020-09-28,2020-10-01,2020-10-07,560,15
15,2020-11-23,2020-11-26,2020-12-02,673,16
16,2020-12-02,2020-12-03,2020-12-09,689,15
17,2020-12-08,2020-12-10,2020-12-16,704,16
18,2020-12-14,2020-12-17,2020-12-23,720,16
19,2020-12-21,2020-12-24,2020-12-30,736,16
20,2020-12-28,2020-12-31,2021-01-06,752,16
21,2021-01-03,2021-09-09,2021-09-15,768,16
22,2021-09-13,2021-09-16,2021-09-22,784,16
23,2021-09-20,2021-09-23,2021-09-29,800,16
24,2021-09-27,2021-09-30,2021-10-06,816,16
25,2021-10-04,2021-10-07,2021-10-13,832,16
26,2021-10-25,2021-10-28,2021-11-03,875,15
27,2021-11-15,2021-11-18,2021-11-24,918,15
28,2021-11-22,2021-11-25,2021-12-01,933,15
29,2021-12-13,2021-12-16,2021-12-22,976,16
30,2021-12-21,2021-12-23,2021-12-29,992,16
31,2021-12-27,2021-12-30,2022-01-05,1008,16
32,2022-01-03,2022-01-06,2022-01-12,1024,16
33,2022-01-09,2022-09-08,2022-09-14,1040,16
34,2022-09-12,2022-09-15,2022-09-21,1056,16
35,2022-09-19,2022-09-22,2022-09-28,1072,16
36,2022-09-26,2022-09-29,2022-10-05,1088,16
37,2022-10-03,2022-10-06,2022-10-12,1104,16
38,2022-10-24,2022-10-27,2022-11-02,1148,15
39,2022-11-21,2022-11-24,2022-11-30,1204,16
40,2022-11-28,2022-12-01,2022-12-07,1220,15
41,2022-12-12,2022-12-15,2022-12-21,1248,16
42,2022-12-19,2022-12-22,2022-12-28,1264,16
43,2022-12-26,2022-12-29,2023-01-04,1280,15
44,2023-01-01,2023-01-05,2023-01-11,1295,16
45,2023-01-08,2023-09-07,2023-09-13,1311,16
46,2023-09-11,2023-09-14,2023-09-20,1327,16
47,2023-09-18,2023-09-21,2023-09-27,1343,16
48,2023-09-25,2023-09-28,2023-10-04,1359,16
49,2023-10-09,2023-10-12,2023-10-18,1389,15
50,2023-10-23,2023-10-26,2023-11-01,1417,16
51,2023-11-20,2023-11-23,2023-11-29,1475,16
52,2023-12-04,2023-12-07,2023-12-13,1504,15
53,2023-12-11,2023-12-14,2023-12-20,1519,16
54,2023-12-18,2023-12-21,2023-12-27,1535,16
55,2023-12-25,2023-12-28,2024-01-03,1551,16
56,2023-12-31,2024-01-04,2024-01-10,1567,16
57,2024-01-07,2024-09-05,2024-09-11,1583,16
58,2024-09-09,2024-09-12,2024-09-18,1599,16
59,2024-09-16,2024-09-19,2024-09-25,1615,16
60,2024-09-23,2024-09-26,2024-10-02,1631,16
61,2024-10-14,2024-10-17,2024-10-23,1675,15
62,2024-10-21,2024-10-24,2024-10-30,1690,16
63,2024-10-28,2024-10-31,2024-11-06,1706,15
64,2024-11-25,2024-11-28,2024-12-04,1762,16
65,2024-12-09,2024-12-12,2024-12-18,1791,16
66,2024-12-16,2024-12-19,2024-12-25,1807,18
67,2024-12-30,2025-01-02,2025-01-08,1839,16
68,2025-01-05,2025-09-04,2025-09-10,1855,16
69,2025-09-08,2025-09-11,2025-09-17,1871,16
70,2025-09-15,2025-09-18,2025-09-24,1887,16
71,2025-09-22,2025-09-25,2025-10-01,1903,16
72,2025-10-06,2025-10-09,2025-10-15,1933,15
73,2025-10-13,2025-10-16,2025-10-22,1948,15
74,2025-11-10,2025-11-13,2025-11-19,2004,15
75,2025-11-24,2025-11-27,2025-12-03,2033,16
76,2025-12-08,2025-12-11,2025-12-17,2063,16
77,2025-12-15,2025-12-18,2025-12-24,2079,16
78,2025-12-22,2025-12-25,2025-12-31,2095,16
79,2025-12-29,2026-01-01,2026-01-07,2111,16
80,2026-09-09,2026-09-10,2026-09-16,2128,15
81,2026-09-14,2026-09-17,2026-09-23,2143,1
