feature,window,n_games,n_nonnull,pct_nonnull,n_measured,pct_measured,n_default_zero,status
elo_diff,decided pool,2127,2127,100.0,2127,100.0,0,OK
win_pct_diff,decided pool,2127,2110,99.2,2110,99.2,0,OK
rest_days_diff,decided pool,2127,2110,99.2,2110,99.2,0,OK
is_dome_home,decided pool,2127,2086,98.07,2086,98.07,0,OK
ewm_net_pts_diff,decided pool,2127,2110,99.2,2110,99.2,0,OK
ewm_ypp_diff,decided pool,2127,2079,97.74,2079,97.74,0,OK
pace_plays_min_diff,decided pool,2127,2079,97.74,2079,97.74,0,OK
rest_short_diff,decided pool,2127,2110,99.2,2110,99.2,0,OK
div_game,decided pool,2127,2127,100.0,2127,100.0,0,OK
travel_miles_diff,decided pool,2127,2127,100.0,2127,100.0,0,OK
altitude_home,decided pool,2127,2127,100.0,2127,100.0,0,OK
prime_time,decided pool,2127,2127,100.0,2127,100.0,0,OK
