game_id,season,week,game_type,gameday,away_team,home_team,away_score,home_score,result,total,n_plays
2016_01_CAR_DEN,2016,1,REG,2016-09-08,CAR,DEN,20,21,1,41,172
2016_01_TB_ATL,2016,1,REG,2016-09-11,TB,ATL,31,24,-7,55,176
2016_01_BUF_BAL,2016,1,REG,2016-09-11,BUF,BAL,7,13,6,20,157
2016_01_CHI_HOU,2016,1,REG,2016-09-11,CHI,HOU,14,23,9,37,177
2016_01_GB_JAX,2016,1,REG,2016-09-11,GB,JAX,27,23,-4,50,185
2016_01_SD_KC,2016,1,REG,2016-09-11,SD,KC,27,33,6,60,200
2016_01_OAK_NO,2016,1,REG,2016-09-11,OAK,NO,35,34,-1,69,193
2016_01_CIN_NYJ,2016,1,REG,2016-09-11,CIN,NYJ,23,22,-1,45,171
2016_01_CLE_PHI,2016,1,REG,2016-09-11,CLE,PHI,10,29,19,39,172
2016_01_MIN_TEN,2016,1,REG,2016-09-11,MIN,TEN,25,16,-9,41,173
2016_01_MIA_SEA,2016,1,REG,2016-09-11,MIA,SEA,10,12,2,22,178
2016_01_NYG_DAL,2016,1,REG,2016-09-11,NYG,DAL,20,19,-1,39,174
2016_01_DET_IND,2016,1,REG,2016-09-11,DET,IND,39,35,-4,74,183
2016_01_NE_ARI,2016,1,REG,2016-09-11,NE,ARI,23,21,-2,44,174
2016_01_PIT_WAS,2016,1,REG,2016-09-12,PIT,WAS,38,16,-22,54,167
2016_01_LA_SF,2016,1,REG,2016-09-12,LA,SF,0,28,28,28,179
2016_02_NYJ_BUF,2016,2,REG,2016-09-15,NYJ,BUF,37,31,-6,68,178
2016_02_TB_ARI,2016,2,REG,2016-09-18,TB,ARI,7,40,33,47,184
2016_02_SF_CAR,2016,2,REG,2016-09-18,SF,CAR,27,46,19,73,207
2016_02_BAL_CLE,2016,2,REG,2016-09-18,BAL,CLE,25,20,-5,45,180
2016_02_TEN_DET,2016,2,REG,2016-09-18,TEN,DET,16,15,-1,31,181
2016_02_KC_HOU,2016,2,REG,2016-09-18,KC,HOU,12,19,7,31,185
2016_02_MIA_NE,2016,2,REG,2016-09-18,MIA,NE,24,31,7,55,187
2016_02_NO_NYG,2016,2,REG,2016-09-18,NO,NYG,13,16,3,29,185
2016_02_CIN_PIT,2016,2,REG,2016-09-18,CIN,PIT,16,24,8,40,200
2016_02_DAL_WAS,2016,2,REG,2016-09-18,DAL,WAS,27,23,-4,50,178
2016_02_SEA_LA,2016,2,REG,2016-09-18,SEA,LA,3,9,6,12,170
2016_02_IND_DEN,2016,2,REG,2016-09-18,IND,DEN,20,34,14,54,190
2016_02_ATL_OAK,2016,2,REG,2016-09-18,ATL,OAK,35,28,-7,63,190
2016_02_JAX_SD,2016,2,REG,2016-09-18,JAX,SD,14,38,24,52,181
2016_02_GB_MIN,2016,2,REG,2016-09-18,GB,MIN,14,17,3,31,172
2016_02_PHI_CHI,2016,2,REG,2016-09-19,PHI,CHI,29,14,-15,43,168
2016_03_HOU_NE,2016,3,REG,2016-09-22,HOU,NE,0,27,27,27,172
2016_03_ARI_BUF,2016,3,REG,2016-09-25,ARI,BUF,18,33,15,51,200
2016_03_MIN_CAR,2016,3,REG,2016-09-25,MIN,CAR,22,10,-12,32,172
2016_03_DEN_CIN,2016,3,REG,2016-09-25,DEN,CIN,29,17,-12,46,176
2016_03_DET_GB,2016,3,REG,2016-09-25,DET,GB,27,34,7,61,162
