feature,window,n_games,pct_measured,pct_nonnull,n_default_zero,status
elo_diff,decided pool,2158,100.0,100.0,0,OK
win_pct_diff,decided pool,2158,99.21,99.21,0,OK
rest_days_diff,decided pool,2158,99.21,99.21,0,OK
is_dome_home,decided pool,2158,98.1,98.1,0,OK
ewm_net_pts_diff,decided pool,2158,99.21,99.21,0,OK
ewm_ypp_diff,decided pool,2158,97.78,97.78,0,OK
pace_plays_min_diff,decided pool,2158,97.78,97.78,0,OK
rest_short_diff,decided pool,2158,99.21,99.21,0,OK
div_game,decided pool,2158,100.0,100.0,0,OK
travel_miles_diff,decided pool,2158,99.77,99.77,0,OK
altitude_home,decided pool,2158,99.77,99.77,0,OK
prime_time,decided pool,2158,100.0,100.0,0,OK
